country,gdp_pc_pp,pop,share1,plgp,unemp,axfin_p,axfin_r,bashs,ophe,social_p,social_r,axhealth,iso3,pov_head,shew,prepare_scaleup,finance_pre,rating,avg_prod_k,protection,faref,fa,peref,pe,share1_ref,v,pv,v_s,H,alpha,T_rebuild_K,T_rebuild_L,pi,income_elast,original_country,macro_multiplier,fap,far,v_shew,v_p,v_r,borrow_abi,sigma_p,sigma_r,tot_p,tot_r,dcap,dcar,delta_W,dKpc,dKtot,cp,cr,dcapns,dcarnos,institutional_exposure,individual_exposure,destitution_exposure,dC_destitution,dW_destitution,resilience,resilience_no_shock,resilience_no_shock_no_uspcale,resilience_no_shock_no_SP,dWsurWprime,equivalent_cost,risk,total_equivalent_cost,total_equivalent_cost_of_destitution,total_equivalent_cost_no_destitution
Aruba,36016.4837574639,102911.0,,0.9311888122558588,,,,0.96,,,,,ABW,0.2,0.0,0.0,0.0,0.0,,100.0,0.0,0.0,0.2,0.2,,,,0.59875,0.5356497092899941,0,3,40,0.2,1.5,Aruba,,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,288378.013754861,,,,,,,,,,,
Australia,42834.0167597384,23129300.0,0.0703,0.998382568359375,0.0569999980926514,0.5201536,0.6854684,1.0,0.194171489728757,0.578,0.126,0.9029142551356216,AUS,0.2,1.0,0.8,0.8,1.0,0.27360239086009513,100.0,0.041670179,0.041670179,0.2,0.2,0.0703,0.44743740795287196,0.40801816925051826,0.43,0.5356497092899941,0,3,40,0.2,1.5,Australia,1.2132435675533253,0.0500042148,0.03958667005,0.3579499263622976,0.5040000000000001,0.3440000000000001,0.9,0.42500000000000004,0.42500000000000004,0.75735,0.49745000000000006,7446.7408355593125,32685.288308738698,0.04022866298328154,2259.441993584094,52259311702.20458,15056.156891048046,49778.48172691098,12251.204359992369,55012.718621221684,0.05190105819921825,0.0002792439487023382,1.449305643337957e-05,342964.8701271659,9.124599849137876e-05,0.7074101595822204,0.7090146957901687,0.6738051852188303,0.5950218920594247,3186.7350662824206,31.939631668825143,0.0007456604373103441,738741322.7577574,1671809.072097501,737069513.68566
Austria,44056.254416802,8479823.0,0.08460000000000001,0.9973828125,0.0490000009536743,0.4380794,0.5678905000000001,1.0,0.158064275956296,0.51716638,0.40816435,0.920967862021852,AUT,0.2,0.0,0.0,0.0,0.9666666666666667,0.23227851820729004,100.0,0.070727081,0.070727081,0.2,0.2,0.08460000000000001,0.1612147659990733,1.977394762975739,0.12400000000000001,0.5356497092899941,0,3,40,0.2,1.5,Austria,1.1738341050886907,0.0848724972,0.06719072694999999,0.1612147659990733,0.4800000000000001,0.12400000000000001,0.48333333333333334,0.12083333333333333,0.12083333333333333,0.57550877575,0.47967782437500006,16833.34236601376,14870.115673314242,0.036847670293354895,2100.2712664978867,17809928591.88791,18635.79561830725,50411.36911642569,19030.88025172478,16665.352975938265,0.04354977547727409,0.00042894996114751014,1.868067449895951e-05,352751.12439490395,0.00011596769183219575,0.6873097379128503,0.6894728522493874,0.6596912249863888,0.4677477839138619,3046.198642406015,30.557856969635974,0.0006936099624025672,259125218.36182943,812965.2573964025,258312253.104433
Azerbaijan,16593.1887600482,9416801.0,0.08130000000000001,0.9818643188476558,0.055,0.001134416,0.024682880000000004,0.994,0.7105923535449241,0.8571289621356334,0.38777251599754,0.6417038232275379,AZE,0.2,0.0,0.0,0.0,0.55,0.5982212831852317,50.0,0.041010556000000004,0.041010556000000004,0.2,0.2,0.08130000000000001,0.12437839770180097,0.045197577731117766,0.12375,0.5356497092899941,0,3,40,0.2,1.5,Azerbaijan,1.5228238472111246,0.049212667200000004,0.038960028199999996,0.12437839770180097,0.13,0.12375000000000003,0.275,0.06875,0.06875,0.8669513459888086,0.42986315552270915,254.55275183330394,2313.3931262952583,0.012238144681759877,137.28586661078356,1292793685.9862933,6745.131230959594,19055.20314232035,268.27583090684936,2472.8428996872326,0.14381061930826874,6.685758643291392e-05,9.614830910373458e-06,132858.91117815019,9.7257918359466e-05,0.5820234985927628,0.5866489050887159,0.58632371948876,0.5726522671260283,234.01708486956522,4.717536901610269,0.0002843056250266248,44424106.21262048,350259.8362843453,44073846.376336135
"Bahamas, The",22517.995142032796,377374.0,,0.8949990081787109,0.13600000381469698,,,0.99,0.302110595513192,,,0.8439447022434041,BHS,0.2,0.0,0.0,0.0,0.0,0.46303855923905307,100.0,0.0,0.0,0.2,0.2,,,,0.34875,0.5356497092899941,0,3,40,0.2,1.5,"Bahamas, The",1.3939037305031776,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,,0.13235209779752732,,,180297.85351978737,,,,,,,,,,,
Bahrain,42444.2784449127,1332171.0,,0.978074264526367,0.07400000095367429,0.1536534,0.17169779999999998,0.995,0.14606045932865602,,,0.924469770335672,BHR,0.2,0.8,0.6666666666666667,0.8,0.5833333333333334,0.18663675173754224,100.0,0.0,0.0,0.2,0.2,,,,0.5598765432098766,0.5356497092899941,0,3,40,0.2,1.5,Bahrain,1.1303067837840879,0.0,0.0,,,,0.6916666666666667,0.33958333333333335,0.33958333333333335,,,,,,,,,,,,0.05715198869721175,,,339844.3000606805,,,,,,,,,,,
Bangladesh,2853.4477401556605,156594962.0,0.0888,0.6620095825195311,0.0430000019073486,0.1456589,0.1823108,0.344,0.6022875689248249,0.056762952438716034,0.0553770944413467,0.37085621553758746,BGD,0.2,0.8,0.6666666666666667,0.8,0.4,0.2897089076246591,2.0,0.174521713,0.174521713,0.2,0.2,0.0888,0.38514194610162517,0.6357605458891398,0.35500000000000004,0.5356497092899941,0,3,40,0.2,1.5,Bangladesh,1.2286039180510175,0.2094260556,0.16579562734999997,0.32351923472536515,0.5292,0.2982,0.6000000000000001,0.3166666666666667,0.3166666666666667,0.35545468416645587,0.35450768120158693,1588.7174789131172,2356.011907134719,0.5993904391798424,540.6463369886076,84662492596.1702,1266.9307966291133,3250.0769760372973,2198.3916286558506,3190.7932275450444,0.33671140128341004,0.006275689302153243,0.002113096138947324,22847.0829412618,0.05154452487939695,0.6092284982049758,0.6616190460521062,0.6040892570107099,0.593568117896313,817.1565498524488,443.71392554810063,0.15550098195381537,69483365310.07565,5502065873.977977,63981299436.09767
Barbados,15298.7155167979,284644.0,,0.9337465667724608,0.121999998092651,,,1.0,0.31899663942823897,,,0.8405016802858805,BRB,0.2,0.8,0.8,0.8,0.0,1.0175034070232714,100.0,0.0,0.0,0.2,0.2,,,,0.12475000000000001,0.5356497092899941,0,3,40,0.2,1.5,Barbados,1.9226818968260804,0.0,0.0,,,,0.4,0.30000000000000004,0.30000000000000004,,,,,,,,,,,,0.1159172503447699,,,122494.27854879269,,,,,,,,,,,
Belarus,17054.5583344525,9466000.0,0.0937,0.986681365966797,0.058000001907348615,0.04172604,0.08594028,1.0,0.31856300870952897,0.4917469369193375,0.3101703987921827,0.8407184956452355,BLR,0.2,0.8,0.7333333333333333,0.8,0.0,0.38644453675382373,50.0,0.037058775,0.037058775,0.2,0.2,0.0937,0.26359988057631556,1.3899859082736077,0.21574999999999997,0.5356497092899941,0,3,40,0.2,1.5,Belarus,1.3208580777032066,0.04447053,0.035205836250000004,0.22142389968410506,0.5292,0.18122999999999992,0.4,0.2833333333333333,0.2833333333333333,0.6357519714588585,0.5056221191343976,4091.411983973353,4640.736688478471,0.0260318816290237,352.5099299916285,3336858997.3007555,7990.060579690997,19320.682773142875,5643.068141942544,6349.333349854497,0.07686671343177204,0.00040315534039292954,3.0989226018471826e-05,136553.02086330415,0.0003091994672080971,0.6718572547881072,0.679837388847597,0.6277454582390483,0.4920588792185681,518.5209518840579,10.493595997644004,0.0006152956759041675,99332379.71369813,1165993.1030082724,98166386.61068986
Belgium,40608.9720093428,11182817.0,0.08349999999999999,0.865133590698242,0.0839999961853027,0.43803739999999997,0.4174232,1.0,0.199116577128342,0.65117317,0.402522585,0.9004417114358291,BEL,0.2,0.0,0.0,0.0,0.8833333333333333,0.21669151743746679,100.0,0.09745978400000001,0.09745978400000001,0.2,0.2,0.08349999999999999,0.14795079181151025,1.230471334147511,0.127,0.5356497092899941,0,3,40,0.2,1.5,Belgium,1.1589692029790652,0.11695174080000001,0.0925867948,0.14795079181151025,0.3299999999999999,0.12700000000000006,0.44166666666666665,0.11041666666666666,0.11041666666666666,0.6896894658124999,0.4684940495729166,8813.606761442123,15674.916472335328,0.04702118660497945,2623.5306442428887,29338463088.460327,16954.245813900616,46522.65355820334,9763.324245110221,17307.169597522556,0.10614156468374386,0.00020564434194391418,2.1827412222285908e-05,325149.30573293794,0.0001411365503918877,0.7599080719479614,0.7621889757624628,0.7471129553100871,0.5535448544395227,3442.0999616511317,34.52431604677768,0.0008501647379508834,386079108.4012782,1155368.7327619737,384923739.6685162
