country,gdp_pc_pp,pop,share1,plgp,unemp,axfin_p,axfin_r,axhealth,bashs,ophe,social_p,social_r
Greece,24539.5067893825,11032328.0,0.0645,0.9289116,0.272999992370605,0.15064270000000002,0.2370554,0.9890043433867921,1.0,0.296745206471977,,
Greenland,,56483.0,,,,,,,,,,
Grenada,11271.7784894489,105897.0,,,,,,0.732878787408607,0.988,0.522242425182786,,
Guam,,165124.0,,,,,,,0.9940000000000001,,,
Guatemala,7062.530674821691,15468203.0,0.0387,0.7092667,0.027999999523162802,0.05192264,0.1411107,0.4908260388642225,0.515,0.533347922271555,0.21925287935117188,0.10471864953838116
Guinea,1212.8881328330199,11745189.0,0.0755,0.5858070999999999,0.0179999995231628,0.010997330000000001,0.02862647,0.39341475792883795,0.45299999999999996,0.666170484142324,,
Guinea-Bissau,1361.89181999599,1704255.0,0.0728,,0.07099999904632572,,,0.4990979744998265,0.43,0.431804051000347,,
Guyana,6335.95019984798,799613.0,,0.9218719,0.111000003814697,,,0.802816585544565,0.919,0.31336682891087,,
Haiti,1648.3991533882001,10317461.0,0.023799999999999998,,0.07,0.04187283,0.2724124,0.6690968646083708,0.373,0.0348062707832583,0.01029806614756764,0.015753787709690964
Heavily indebted poor countries (HIPC),1871.2491376461398,673564609.0,,0.547599182128906,0.0616879492228603,,,0.5289635292017894,0.5038519873147679,0.445924928911189,,
High income,39425.973768884505,1306132071.0,,0.9430687713623052,0.07724436917572419,0.348204702119,0.53288409916,,,0.137880114748343,,
High income: OECD,40689.0728022873,1054441583.0,,0.9418286895751948,0.0815141075889319,0.354598195066,0.5433560022199999,,,0.131531275305286,,
High income: nonOECD,34705.3143460903,251690488.0,,0.9483116912841801,0.05804759131496709,0.24567882686500003,0.401839417481,0.8390120815913105,0.991477700112898,0.313453536930277,,
Honduras,4445.2710541232,8097688.0,0.026099999999999998,0.6955745,0.041999998092651404,0.048005110000000004,0.1113482,0.6867337676933964,0.8290000000000001,0.45553246461320707,0.2579741926798659,0.13477151366151952
"Hong Kong SAR, China",51508.863393328895,7187500.0,,0.9902224,0.0329999995231628,0.2345293,0.5612609000000001,,1.0,,,
Hungary,22913.9169266266,9897247.0,0.0825,0.980723,0.10199999809265099,0.10296560000000002,0.21891560000000002,0.8601484951815705,0.991,0.270703009636859,0.7957704395524086,0.3988530630522048
Iceland,41249.5093765332,323002.0,0.0956,0.9709032,0.05599999904632571,,,,,0.179191428289137,,
India,5238.02040646005,1252139596.0,0.08539999999999999,0.6137311,0.0359999990463257,0.1044369,0.1291635,0.473636907176866,0.523,0.575726185646268,,
Indonesia,9254.42217970391,249865631.0,0.07629999999999999,0.8897507,0.06300000190734861,0.07783603,0.20775120000000002,0.6887591921771585,0.831,0.453481615645683,,
"Iran, Islamic Rep.",15090.047220074799,77447168.0,0.0643,0.9617577,0.131999998092651,0.1201135,0.2830249,0.7196492460071615,0.9640000000000001,0.524701507985677,,
Iraq,14471.473317625,33417476.0,0.08800000000000001,0.24837800000000002,0.16,0.037348940000000004,0.07046959,0.7222873381836705,0.909,0.464425323632659,0.13105041321080904,0.08987146573864697
Ireland,44931.042015168896,4595281.0,0.0762,0.9983825999999999,0.131000003814697,0.4418019,0.5577141,0.9890043433867921,1.0,0.15011967772791399,,
Isle of Man,,85888.0,,,,,,,,,,
Israel,30926.8490945208,8059400.0,0.0461,0.9891230999999999,0.06300000190734861,0.1750859,0.29724900000000004,,,0.2501056657902,,
Italy,34167.2396789239,59831093.0,0.060700000000000004,0.9951775,0.121999998092651,0.09733824,0.2057067,0.8938383557852829,0.99,0.202323288429434,,
Jamaica,8606.65524983149,2715000.0,0.0535,0.8189931999999999,0.15,0.3084125,0.3009419,0.8468516273397395,0.983,0.289296745320521,0.266518589381954,0.1474314747293658
Japan,35614.3099232518,127338621.0,0.0737,0.9983825999999999,0.04,0.42775579999999996,0.5752374,0.9284147566655785,0.998,0.14117048666884302,,
Jordan,11406.504572319,6459000.0,0.0823,0.9789905999999999,0.126000003814697,0.0183222,0.12098519999999999,0.8555229903669375,0.996,0.284954019266125,0.24754125076743594,0.20254922683467025
Kazakhstan,22466.734058633,17037508.0,0.09449999999999999,0.9927625,0.05199999809265139,0.03901879,0.08635989000000001,0.791641530497542,1.0,0.41671693900491596,,
Kenya,2705.3232181398103,44353691.0,0.0484,0.7763126,0.0919999980926514,0.09462677000000001,0.34611990000000004,0.4810052514562785,0.43799999999999994,0.475989497087443,0.05486851859573319,0.07183448406098354
Kiribati,1796.2971464148602,102351.0,,0.7890505999999999,,,,0.8985338269918974,0.7979999999999999,0.000932346016204988,0.09119600859349575,0.08826577847818604
"Korea, Dem. Rep.",,24895480.0,,,0.0459999990463257,,,,1.0,,,
"Korea, Rep.",32708.1074459188,50219669.0,,0.9919110999999999,0.030999999046325697,0.32151379999999996,0.5663845,0.8197334652509489,1.0,0.36053306949810204,,
Kosovo,8598.55955756445,1824000.0,,,,0.02931483,0.06678824,,,,0.19792748058848167,0.11673657822825764
Kuwait,82357.8241817504,3368572.0,,0.9407154,0.030999999046325697,0.4637131,0.346897,0.9210672833281015,1.0,0.157865433343797,,
Kyrgyz Republic,3109.86720095126,5719500.0,0.0768,0.9705364,0.08,0.0035045049999999998,0.01252162,0.821399622842315,0.991,0.34820075431537,0.7217599301569062,0.4621961027620737
Lao PDR,4667.34005886512,6769727.0,0.0762,0.6994736,0.013999999761581401,0.1290799,0.24117370000000002,0.5165730475812165,0.415,0.38185390483756704,0.03728431799420904,0.13347582175320616
Latin America & Caribbean (all income levels),14599.753862436299,615332338.0,,0.719713363647461,0.061883413776829696,,,0.7653934597662265,0.8577033496022131,0.32691643006976,,
Latin America & Caribbean (developing only),14146.6280355042,588019503.0,,0.7162669372558591,0.0614832558517498,0.045405863762,0.13406881781,0.761885338384606,0.8524222539641941,0.328651577194982,,
Latvia,21824.5680807699,2013385.0,0.062400000000000004,0.9308755999999999,0.111000003814697,0.07261657,0.1745626,0.813034887631083,1.0,0.373930224737834,0.5695951191444618,0.21415530061340335
Least developed countries: UN classification,2028.9986481498001,898287691.0,,0.5499494934082029,0.057156736563575804,,,0.4923727905382934,0.463512370854414,0.4787667897778271,,
Lebanon,16622.935484094298,4467390.0,,0.9328772,0.065,0.10946669999999999,0.2132883,0.7659900976700069,0.98,0.44801980465998603,,
Lesotho,2493.6137341397302,2074465.0,0.028399999999999998,0.6390215,0.247000007629395,0.02885618,0.114664,0.7336498947988025,0.615,0.147700210402395,,
Liberia,849.830924236094,4294077.0,0.0644,0.677655,0.0370000004768372,0.0503479,0.1984991,0.625409851621928,0.46299999999999997,0.21218029675614397,0.04503793391523511,0.12573070699110653
Libya,20371.2174108149,6201521.0,,,0.196000003814697,,,0.885560069979092,0.998,0.22687986004181598,,
Liechtenstein,,36925.0,,,,,,,,,,
Lithuania,24482.6017963735,2956121.0,0.0703,0.9749953000000001,0.11800000190734901,0.1289919,0.25574820000000004,0.857321000882672,1.0,0.28535799823465596,0.7555093413432173,0.20816938520035233
Low & middle income,8266.02101002402,5818411891.0,,0.722159729003906,0.055434050828911306,0.10534596196599999,0.22646481996599999,0.6514365886381875,0.6630606545544591,0.360187477278084,,
Low income,1816.90096181131,848667515.0,,0.568959808349609,0.0506697639661888,0.07110753942999999,0.146951732604,0.5029067300459881,0.48662272816278107,0.48080926807080493,,
Lower middle income,5806.89869651587,2561088084.0,,0.7052120971679691,0.0534451164077403,0.079390866577,0.139039094628,0.5267873809232846,0.5896326903948811,0.536057928548312,,
Luxembourg,87737.4167247725,543202.0,,,0.05900000095367429,0.4183401,0.5780947,0.9433269779801825,0.9990000000000001,0.11234604403963498,,
"Macao SAR, China",138024.90667496802,566375.0,,0.9827376999999999,0.0179999995231628,,,,1.0,,,
"Macedonia, FYR",11608.968970793701,2107158.0,0.0541,0.9749306,0.29,0.040050230000000006,0.1029979,0.8119719452209431,0.983,0.35905610955811396,,
Madagascar,1368.63241207592,22924851.0,0.065,0.40658570000000005,0.0359999990463257,0.0009650700000000001,0.025123799999999998,0.5622121393498241,0.439,0.314575721300352,0.07554764626798254,0.1054161434005338
Malawi,754.981975267971,16362567.0,0.0541,0.4911622,0.0759999990463257,0.04353664,0.1117776,0.7941117545435605,0.7140000000000001,0.125776490912879,0.03189209342110269,0.03962894099199903
Malaysia,22589.3714474966,29716965.0,0.0454,0.9924042,0.032000000476837195,0.22301310000000002,0.4413013,0.8150582913742375,0.9859,0.35578341725152507,0.1471422500216373,0.05773081708127114
Maldives,11282.814960828799,345023.0,0.06509999999999999,0.8284738,0.116000003814697,,,0.7325869316715654,0.948,0.482826136656869,0.031145207668181806,0.016503814270041425
Mali,1589.1673480781,15301650.0,0.0797,0.6159251,0.08199999809265139,0.01193264,0.06941296000000001,0.47683137106858653,0.561,0.607337257862827,0.024631705730870018,0.05299713321707195
Malta,28827.9267617666,423282.0,,0.9446349,0.065,0.31585690000000005,0.5362636999999999,0.83870384117269,1.0,0.32259231765462,,
Marshall Islands,3775.8601550871504,52634.0,,0.8346781999999999,,,,0.9295663707690389,0.99,0.13086725846192201,,
Mauritania,2945.22956949672,3889880.0,0.0602,0.8123777,0.31,0.03587341,0.08852291000000001,0.6549958439044594,0.6509999999999999,0.341008312191081,,
Mauritius,16647.7986717077,1296303.0,0.0739,0.973389,0.08300000190734862,0.20344550000000003,0.37936609999999993,0.7621893217281355,0.992,0.46762135654372905,0.20302770408423365,0.10934859764325706
Mexico,16290.812600621299,122332399.0,0.048600000000000004,0.9575267,0.0490000009536743,0.02666605,0.09435228999999999,0.7596095153356724,0.96,0.440780969328655,0.5340229455306378,0.25476890628986215
"Micronesia, Fed. Sts.",3285.75294189917,103549.0,0.0159,,,,,0.952636189427704,1.0,0.0947276211445919,0.4911367616883895,0.13340977833450512
Middle East & North Africa (all income levels),17336.053531131998,402606687.0,,0.8651049041748051,0.11220470070515699,,,0.7680087940535599,0.8911110797208219,0.355093491613702,,
Middle East & North Africa (developing only),11467.766492892,345447146.0,,0.851379013061523,0.127278798736625,0.017809886302000002,0.039386365566,0.706354852989971,0.878692052171752,0.46598234619181006,,
Middle income,9371.659913348609,4969744376.0,,0.766807174682617,0.0562517683329536,0.10871245902400001,0.235006069572,0.6789071873045155,0.715729661302805,0.357915286693774,,
Moldova,4520.5335239613005,3559000.0,0.0849,0.9578251,0.050999999046325704,0.01166181,0.05188435,0.769342671447222,0.992,0.45331465710555596,0.4658781844872598,0.33756533499209274
Monaco,,37831.0,,,,,,,,0.0699999999964181,,
Mongolia,9132.30570379131,2839073.0,0.071,0.9304724,0.0490000009536743,0.12503060000000002,0.3259635,0.8209076887076054,0.988,0.346184622584789,0.32451319459176803,0.18658999698714793
Montenegro,14151.5411049103,621383.0,0.0825,0.804986,0.197999992370605,0.01946717,0.04602079,0.816710983270969,1.0,0.366578033458062,,
Morocco,6967.259245878559,33008150.0,0.0652,0.9155941999999999,0.0919999980926514,,,0.5742262662610165,0.736,0.587547467477967,,
Mozambique,1069.62467709464,25833752.0,0.052300000000000006,0.3057324,0.08300000190734862,0.09290762,0.2333462,0.746306657115011,0.5429999999999999,0.0503866857699779,0.22864661567112732,0.0790302963912396
Myanmar,,53259018.0,,0.7479233000000001,0.0340000009536743,,,0.4964050098850275,0.706,0.713189980229945,,
Namibia,9275.77298948326,2303315.0,0.0337,0.8446271999999999,0.16899999618530298,,,0.8726954730951924,0.8140000000000001,0.06860905380961549,,
Nepal,2172.79039161762,27797457.0,0.0827,0.5526177,0.027000000476837198,0.06229612,0.12074199999999999,0.433822597173566,0.36,0.492354805652868,0.1957230900073423,0.3589367106901816
Netherlands,44944.59266850769,16804224.0,0.084,0.9821536000000001,0.06699999809265139,0.4614935,0.6533965,0.9720988305924985,1.0,0.055802338815003,,
New Caledonia,,262000.0,,,,,,,,,,
New Zealand,32807.6419398705,4470800.0,,,0.061999998092651394,0.5627312,0.6322266999999999,0.928381822395645,0.966,0.10923635520871,,
Nicaragua,4493.766693912729,6080478.0,0.0464,0.4840927,0.0719999980926514,0.02185021,0.09916451999999999,0.6727770656713894,0.737,0.39144586865722103,0.30955790148805923,0.18289249576700325
Niger,886.809611289333,17831270.0,0.08960000000000001,0.6932961,0.050999999046325704,0.0019096879999999999,0.01899289,0.38122017016762555,0.293,0.5305596596647489,0.05921709568758075,0.06195777077582977
Nigeria,5422.6933427295,173615345.0,0.053899999999999997,0.7933840999999999,0.075,0.09879839,0.3292577,0.414092489248177,0.48700000000000004,0.658815021503646,0.004318494866955536,0.0078094642485003855
North America,50395.5502494314,351352167.0,,0.930418701171875,0.0736729770484391,,,,,0.113676760126948,,
Northern Mariana Islands,,53855.0,,,,,,,0.996,,,
Norway,62448.017618431106,5084190.0,0.09,0.9848845,0.035,,,,,0.134375682942681,,
OECD members,36875.4275482825,1261603870.0,,0.940915374755859,0.0796348211047973,,,,,0.135942375478659,,
Oman,44532.4548711515,3632444.0,,0.9356305,0.0790000009536743,0.12693300000000002,0.3025271,0.933046649127357,0.986,0.11990670174528599,,
Other small states,8809.21626538907,20214523.0,,0.6794638061523439,0.137331824496757,,,0.7135934876358605,0.68540671030287,0.25821973503114903,,
Pacific island small states,4882.42100702613,2280082.0,,0.797245635986328,,,,0.8871207404130045,0.89562050253592,0.121379021709911,,
Pakistan,4454.07482878434,182142594.0,0.0959,0.6099195000000001,0.050999999046325704,0.004530575,0.020749169999999997,0.4357250454962955,0.49,0.618549909007409,0.06627475544327993,0.1375627297173065
Palau,14611.7353039229,20918.0,,,,,,0.9471397694544366,1.0,0.105720461091127,0.14801150969645407,0.10637442990521595
Panama,18793.3933318045,3864170.0,0.032,0.9160964,0.040999999046325696,0.09945973999999999,0.1435299,0.8185,0.885,0.248,0.13708015804999846,0.19584232441457686
Papua New Guinea,2457.63241436369,7321262.0,,,0.020999999046325702,,,0.7176445625367236,0.53,0.09471087492655289,0.053380642635932445,0.02093413029193003
Paraguay,7833.074001567579,6802295.0,0.0406,0.8011572,0.05199999809265139,0.012528110000000002,0.156035,0.642851865619377,0.8190000000000001,0.533296268761246,0.22254092286194477,0.18271037767433418
Peru,11396.493020613101,30375603.0,0.042199999999999994,0.7388513,0.039000000953674306,0.027257290000000003,0.13447479999999998,0.7548901458049475,0.867,0.35721970839010503,0.17809290377262527,0.1438275088967906
Philippines,6326.2164238939795,98393574.0,0.058899999999999994,0.7577984000000001,0.07099999904632572,0.03047869,0.24110879999999998,0.600981200256435,0.722,0.52003759948713,0.1881751680446434,0.22829866771306767
Poland,22877.223866663502,38530725.0,0.0789,0.9853229,0.103999996185303,0.09168007000000002,0.23913109999999999,0.8854687318858656,0.9990000000000001,0.228062536228269,,
Portugal,25595.6286325431,10459806.0,,,0.165,0.12224410000000001,0.3530146,0.8412399455787101,0.9990000000000001,0.31652010884258,,
Puerto Rico,33637.5807616376,3615086.0,,,0.141999998092651,,,,0.998,,,
