,S&P,,Moody's,,Fitch,,TE,
Lesotho ,,,,,BB- ,STABLE ,40,STABLE 
Liechtenstein ,AAA ,STABLE ,,,,,100,STABLE 
Lithuania ,A- ,STABLE ,Baa1,POSITIVE ,A- ,STABLE ,66,STABLE 
Luxembourg ,AAA ,STABLE ,Aaa,STABLE ,AAA ,STABLE ,100,STABLE 
Macao ,,,Aa2,STABLE ,AA- ,STABLE ,88,STABLE 
Macedonia ,BB- ,STABLE ,,,BB+ ,STABLE ,45,STABLE 
Malaysia ,A- ,STABLE ,A3,POSITIVE ,A- ,Negative ,66,STABLE 
Malta ,BBB+ ,STABLE ,A3,STABLE ,A ,STABLE ,71,STABLE 
Mauritius ,,,Baa1,STABLE ,,,65,
Mexico ,BBB+ ,STABLE ,A3,STABLE ,BBB+ ,STABLE ,61,STABLE 
Moldova ,,,B3,STABLE ,,,25,
Mongolia ,B+ ,STABLE ,B2,NEGATIVE ,B+ ,NEGATIVE ,34,STABLE 
Montenegro ,B+ ,STABLE ,Ba3,NEGATIVE ,,,40,NEGATIVE 
Morocco ,BBB- ,STABLE ,Ba1,STABLE ,BBB- ,STABLE ,54,STABLE 
Mozambique ,B ,Stable ,B1,STABLE ,B+ ,STABLE ,34,Stable 
Namibia ,,,Baa3,STABLE ,BBB- ,STABLE ,55,STABLE 
Netherlands ,AA+ ,STABLE ,Aaa,STABLE ,AAA ,STABLE ,98,STABLE 
New Zealand ,AA ,STABLE ,Aaa,STABLE ,AA ,POSITIVE ,88,STABLE 
Nicaragua ,,,B3,STABLE ,,,25,
Nigeria ,B+ ,STABLE ,Ba3,STABLE ,BB- ,NEGATIVE ,27,NEGATIVE 
Norway ,AAA ,STABLE ,Aaa,STABLE ,AAA ,STABLE ,98,STABLE 
Oman ,A- ,STABLE ,A1,NEGATIVE ,,,78,STABLE 
Pakistan ,B- ,STABLE ,Caa1,POSITIVE ,,,9,STABLE 
Panama ,BBB ,STABLE ,Baa2,STABLE ,BBB ,STABLE ,60,STABLE 
Papua New Guinea ,B+ ,STABLE ,B1,STABLE ,,,35,STABLE 
Paraguay ,BB ,STABLE ,Ba1,STABLE ,BB ,STABLE ,43,STABLE 
Peru ,BBB+ ,STABLE ,A3,STABLE ,BBB+ ,STABLE ,61,STABLE 
Philippines ,BBB ,STABLE ,Baa2,STABLE ,BBB- ,STABLE ,52,STABLE 
Poland ,A- ,POSITIVE ,A2,STABLE ,A- ,Stable ,69,STABLE 
Portugal ,BB ,Positive ,Ba1,STABLE ,BB+ ,POSITIVE ,45,Stable 
Puerto Rico ,B ,Negative ,Caa1,Negative ,,,38,Negative 
Qatar ,AA ,STABLE ,Aa2,STABLE ,,,87,STABLE 
Republic of the Congo ,B ,STABLE ,Ba3,STABLE ,B+ ,STABLE ,36,STABLE 
Romania ,BBB- ,STABLE ,Baa3,STABLE ,BBB- ,STABLE ,51,STABLE 
Russia ,BB+ ,NEGATIVE ,Ba1,Negative ,BBB- ,NEGATIVE ,50,NEGATIVE 
Rwanda ,B+ ,STABLE ,,,B+ ,STABLE ,33,POSITIVE 
San Marino ,,,,,BBB+ ,STABLE ,65,STABLE 
Saudi Arabia ,AA- ,Negative ,Aa3,STABLE ,AA ,Stable ,88,POSITIVE 
Senegal ,B+ ,STABLE ,B1,POSITIVE ,,,35,STABLE 
Serbia ,BB- ,Negative ,B1,STABLE ,B+ ,STABLE ,36,NEGATIVE 
Seychelles ,,,,,B+ ,STABLE ,35,STABLE 
Singapore ,AAA ,STABLE ,Aaa,STABLE ,AAA ,STABLE ,98,STABLE 
Slovakia ,A ,POSITIVE ,A2,STABLE ,A+ ,STABLE ,76,POSITIVE 
Slovenia ,A- ,Stable ,Baa3,Stable ,BBB+ ,STABLE ,60,NEGATIVE 
South Africa ,BBB- ,STABLE ,Baa2,STABLE ,BBB ,Negative ,52,STABLE 
South Korea ,A+ ,POSITIVE ,Aa3,STABLE ,AA- ,STABLE ,81,POSITIVE 
Spain ,BBB ,STABLE ,Baa2,Positive ,BBB+ ,Stable ,60,STABLE 
Sri Lanka ,B+ ,STABLE ,B1,STABLE ,BB- ,STABLE ,38,STABLE 
St Vincent and the Grenadines ,,,B3,NEGATIVE ,,,30,
Suriname ,BB- ,STABLE ,Ba3,Stable ,BB- ,STABLE ,40,STABLE 
Sweden ,AAA ,STABLE ,Aaa,STABLE ,AAA ,STABLE ,99,STABLE 
Switzerland ,AAA ,STABLE ,Aaa,STABLE ,AAA ,STABLE ,100,STABLE 
Taiwan ,AA- ,STABLE ,Aa3,STABLE ,A+ ,STABLE ,81,STABLE 
Thailand ,BBB+ ,STABLE ,Baa1,STABLE ,BBB+ ,Stable ,62,STABLE 
Trinidad and Tobago ,A ,STABLE ,Baa1,STABLE ,,,70,STABLE 
Tunisia ,,,Ba3,NEGATIVE ,BB- ,STABLE ,40,NEGATIVE 
Turkey ,BB+ ,Negative ,Baa3,NEGATIVE ,BBB- ,STABLE ,45,Negative 
Uganda ,B ,STABLE ,B1,STABLE ,B+ ,Stable ,31,STABLE 
Ukraine ,CCC- ,Negative ,Ca,Negative ,CC ,,16,STABLE 
United Arab Emirates ,AA ,STABLE ,Aa2,STABLE ,AA ,STABLE ,90,STABLE 
United Kingdom ,AAA ,STABLE ,AA1,STABLE ,AA+ ,STABLE ,94,STABLE 
United States ,AA+ ,STABLE ,Aaa,STABLE ,AAA ,STABLE ,97,STABLE 
Uruguay ,BBB- ,STABLE ,Baa2,STABLE ,BBB- ,STABLE ,56,STABLE 
Venezuela ,CCC ,NEGATIVE ,Caa3,STABLE ,CCC ,,9,NEGATIVE 
Vietnam ,BB- ,STABLE ,B1,STABLE ,BB- ,Stable ,30,STABLE 
Zambia ,B+ ,NEGATIVE ,B1,STABLE ,B ,STABLE ,33,NEGATIVE 
