country,gdp_pc_pp,pop,share1,plgp,unemp,axfin_p,axfin_r,bashs,ophe,social_p,social_r,axhealth,pov_head,shew,prepare_scaleup,finance_pre,rating,avg_prod_k,protection,fa,pe,v,pv,v_s,peref,faref,protectionref,share1_ref,H,alpha,T_rebuild_K,T_rebuild_L,pi,income_elast,original_country
Brazil,14555.0821953115,200361925.0,0.0339,0.806246566772461,0.05900000095367429,0.0636212,0.1296786,0.9808,0.29961241635115804,0.22567230651126025,0.2056113132070956,0.8405937918244211,0.2,0.2,0.8666666666666666,0.6,0.5833333333333334,0.265575010187584,22.17,0.049661979062635815,0.1679728080635645,0.5700640650645944,0.10513894596849283,0.5675,0.1679728080635645,0.049661979062635815,22.17,0.0339,0.5356497092899943,1,3,40,0.2,1.5,Brazil
Brunei Darussalam,69474.17897293,417784.0,,0.963691864013672,0.0379999995231628,,,0.999,0.0794413769899421,,,0.959779311505029,0.2,0.4,0.4666666666666667,0.6,0.0,0.35278062984701475,85.78,0.018448046526606112,0.1679728080635645,,,,0.1679728080635645,0.018448046526606112,85.78,,0.5356497092899943,1,3,40,0.2,1.5,Brunei Darussalam
Bulgaria,15695.0177942759,7265115.0,0.0641,0.969386520385742,0.128999996185303,0.01463466,0.07025403,0.995,0.396330201442252,0.66309464,0.404462695,0.7993348992788739,0.2,0.8,0.6666666666666667,0.8,0.55,0.3230784715072762,28.32,0.0406646206660324,0.1679728080635645,0.3928059851705749,0.6038452156639729,0.37300000000000005,0.1679728080635645,0.0406646206660324,28.32,0.0641,0.5356497092899943,1,3,40,0.2,1.5,Bulgaria
Burkina Faso,1630.4444967271695,16934839.0,0.0672,0.6907449340820311,0.030999999046325694,0.0373907,0.1070983,0.659,0.33234375513919706,0.4946753901560933,0.3235166050780195,0.6633281224304015,0.2,0.6000000000000001,0.8,0.8,0.25,0.40566509188102295,1.9,0.011201136451543192,-0.3,0.6001502667174701,0.04973709908652291,0.59875,-0.3,0.011201136451543192,1.9,0.0672,0.5356497092899943,1,3,40,0.2,1.5,Burkina Faso
Burundi,746.960151427392,10162532.0,0.08960000000000001,0.4749560165405271,0.06900000095367427,0.005427960000000001,0.05161891,0.603,0.20233346786826,,,0.7003332660658699,0.2,0.6000000000000001,0.5333333333333333,0.2,0.0,0.4629793127178333,1.72,0.013002055002250844,0.1679728080635645,0.3398184688978796,0.8539310180616586,0.305,0.1679728080635645,0.013002055002250844,1.72,0.08960000000000001,0.5356497092899943,1,3,40,0.2,1.5,Burundi
Cabo Verde,6210.492954660252,498897.0,0.0579,0.914005737304688,0.07,,,0.775,0.23056277716822698,0.11215629287022584,0.08850635522282173,0.7722186114158864,0.2,0.0,0.0,0.0,0.0,,,,0.1679728080635645,,,,0.1679728080635645,,,0.0579,0.5356497092899943,1,3,40,0.2,1.5,Cabo Verde
Cambodia,2943.52466835185,15135169.0,0.08990000000000001,0.642295989990234,0.0030000001192092896,0.002184594,0.0120755,0.74,0.59739799120384,0.02478883990859972,0.028243106138826062,0.57130100439808,0.2,0.0,0.0,0.0,0.3,0.45929444965397004,5.29,0.1597953949501889,-0.25,0.24476278848761043,1.5739206678138076,0.2179012345679012,-0.25,0.1597953949501889,5.29,0.08990000000000001,0.5356497092899943,1,3,40,0.2,1.5,Cambodia
Cameroon,2739.34394480018,22253959.0,0.0635,0.6975482177734379,0.04,0.09631175,0.1015309,0.636,0.6148367448398971,0.149924286778418,0.029862131888120688,0.5105816275800514,0.2,0.0,0.0,0.0,0.3,0.41973757460294764,6.73,0.03702171514027235,0.38,0.16982489674254475,2.2680720591950805,0.13,0.38,0.03702171514027235,6.73,0.0635,0.5356497092899943,1,3,40,0.2,1.5,Cameroon
Canada,41898.8823594636,35154279.0,0.071,0.998382568359375,0.07099999904632573,0.3688955,0.6416324999999999,1.0,0.15121760279456198,0.631,0.14,0.9243911986027191,0.2,0.8,0.8666666666666666,0.6,1.0,0.3354838938558465,84.08,0.03686313445856925,0.1679728080635645,0.13862152620172682,0.8395411375641271,0.1277777777777778,0.1679728080635645,0.03686313445856925,84.08,0.071,0.5356497092899943,1,3,40,0.2,1.5,Canada
Caribbean small states,14252.8204697025,7002414.0,,0.8656566619873051,0.11702873168828501,,,0.9731889216252699,0.33559305119094396,,,0.8187979352171629,0.2,0.0,0.0,0.0,0.0,,,,0.1679728080635645,,,,0.1679728080635645,,,,0.5356497092899943,1,3,40,0.2,1.5,Caribbean small states
Cayman Islands,,58435.0,,0.746488265991211,,,,1.0,,,,,0.2,0.6000000000000001,0.6,0.8,0.85,,0.5,,0.1679728080635645,,,,0.1679728080635645,,0.5,,0.5356497092899943,1,3,40,0.2,1.5,Cayman Islands
Central African Republic,584.375944042188,4616417.0,0.0337,0.465562896728516,0.0759999990463257,0.0062126659999999995,0.03726327,0.5379999999999999,0.45005968492499504,,,0.5439701575375024,0.2,0.0,0.0,0.0,0.0,0.3147438330510679,2.33,0.044632484615373384,0.18,0.5741564113985036,0.09726197860522934,0.5717500000000001,0.18,0.044632484615373384,2.33,0.0337,0.5356497092899943,1,3,40,0.2,1.5,Central African Republic
Central Europe and the Baltics,22152.224468066,104186502.0,,0.9735376739501947,0.100929837841244,,,0.996298300696182,0.221405794787698,,,0.8874462529542421,0.2,0.0,0.0,0.0,0.0,,,,0.1679728080635645,,,,0.1679728080635645,,,,0.5356497092899943,1,3,40,0.2,1.5,Central Europe and the Baltics
Chad,2021.59347086517,12825314.0,0.0488,0.509875793457031,0.07,0.0492537,0.08138166,0.227,0.6102063567497631,,,0.30839682162511844,0.2,0.0,0.0,0.0,0.0,0.7532009944644721,5.66,0.0781597334231037,0.1679728080635645,0.6005895587476522,0.04896928497004582,0.59875,0.1679728080635645,0.0781597334231037,5.66,0.0488,0.5356497092899943,1,3,40,0.2,1.5,Chad
Channel Islands,,162018.0,,,,,,,,,,,0.2,0.0,0.0,0.0,0.0,,,,0.1679728080635645,,,,0.1679728080635645,,,,0.5356497092899943,1,3,40,0.2,1.5,Channel Islands
Chile,21714.0315564501,17619708.0,0.0452,0.986675415039063,0.06,0.07033718,0.16054310000000002,0.9985,0.317453447212696,,,0.840523276393652,0.2,0.8,0.8,1.0,0.8333333333333333,0.34739411181855295,57.36,0.08372318136236923,0.1679728080635645,0.12058938882265112,0.4926686481902911,0.1171604938271605,0.1679728080635645,0.08372318136236923,57.36,0.0452,0.5356497092899943,1,3,40,0.2,1.5,Chile
China,11524.567506563,1357380000.0,0.0467,,0.0459999990463257,0.17047620000000002,0.4205325999999999,0.998,0.338780573827922,,,0.8296097130860391,0.2,0.8,0.8,0.8,0.8333333333333333,0.22921637913923992,26.03,0.09268535857950012,0.1679728080635645,0.5641809971347141,0.11666292058675953,0.5602499999999998,0.1679728080635645,0.09268535857950012,26.03,0.0467,0.5356497092899943,1,3,40,0.2,1.5,China
Colombia,12025.385371844199,48321405.0,0.033,0.8471189117431641,0.105,0.02795298,0.1365075,0.9905,0.139249199109682,0.12269429867232788,0.08732756485972662,0.9256254004451591,0.2,0.8,0.7333333333333333,0.8,0.6,0.2797792564799715,19.71,0.03419750354611952,1.19,0.27694309472932493,1.274835560047963,0.23938271604938266,1.19,0.03419750354611952,19.71,0.033,0.5356497092899943,1,3,40,0.2,1.5,Colombia
Comoros,1399.7808484349,734917.0,0.0255,0.5540692901611329,0.065,0.03531137,0.1475529,0.8220000000000001,0.4513567531029821,0.03660522913670748,0.02693787180592966,0.685321623448509,0.2,0.6000000000000001,0.26666666666666666,0.2,0.0,0.197958724460889,0.5,0.0,0.1679728080635645,,,,0.1679728080635645,0.0,0.5,0.0255,0.5356497092899943,1,3,40,0.2,1.5,Comoros
"Congo, Dem. Rep.",783.259253578526,67513677.0,0.0547,0.7072544860839841,0.08,0.008708673000000002,0.01915755,0.8009999999999999,0.32704679066267894,0.012981287634021592,0.030175238221482683,0.7369766046686604,0.2,0.0,0.0,0.0,0.25,0.23705600185809048,2.04,0.036329393275439416,-0.09,0.5111220524009413,0.23258230992116702,0.5050000000000002,-0.09,0.036329393275439416,2.04,0.0547,0.5356497092899943,1,3,40,0.2,1.5,"Congo, Dem. Rep."
"Congo, Rep.",5680.2299827443285,4447632.0,0.0561,0.7029091644287111,0.065,0.017709810000000003,0.08744304,0.925,0.21652714823540506,0.1719690500661691,0.1521444160488617,0.8542364258822975,0.2,0.0,0.0,0.0,0.35,0.37275342390232385,3.43,0.0348527324926088,0.1679728080635645,0.15871498949448087,2.4968341791012727,0.13000000000000003,0.1679728080635645,0.0348527324926088,3.43,0.0561,0.5356497092899943,1,3,40,0.2,1.5,"Congo, Rep."
Costa Rica,13430.743207071202,4872166.0,0.0421,0.877201766967773,0.0759999990463257,0.07918306,0.2792255,0.991,0.233453544223446,0.4696688141506717,0.20280860501907427,0.8787732278882769,0.2,1.0,0.9333333333333333,1.0,0.48333333333333334,0.48189675491736383,17.02,0.02002755712618558,0.1679728080635645,0.17915744323632224,2.516460095766059,0.15499999999999994,0.1679728080635645,0.02002755712618558,17.02,0.0421,0.5356497092899943,1,3,40,0.2,1.5,Costa Rica
Cote d'Ivoire,3107.4688875175293,20316086.0,0.0519,0.7311875152587891,0.04,,,0.594,0.511924545461815,,,0.5410377272690925,0.2,0.4,0.4,0.2,0.325,0.5759764393620561,6.79,0.0272749947901844,-0.02,0.6003335743160947,0.04941656930932359,0.59875,-0.02,0.0272749947901844,6.79,0.0519,0.5356497092899943,1,3,40,0.2,1.5,Cote d'Ivoire
Croatia,20048.9871590995,4255700.0,0.0801,0.994395370483398,0.17700000762939497,0.07799293,0.1524273,1.0,0.12462929180338,0.549424,0.270493,0.93768535409831,0.2,0.8,0.8,0.8,0.4666666666666666,0.23052247153165525,179.79,0.10140820045641144,0.1679728080635645,0.38557725697169964,0.6339137970636073,0.35962962962962963,0.1679728080635645,0.10140820045641144,179.79,0.0801,0.5356497092899943,1,3,40,0.2,1.5,Croatia
Cuba,18796.192523146103,11265629.0,,0.957932815551758,0.032000000476837195,,,1.0,0.0704797950968119,,,0.9647601024515942,0.2,0.8,0.8,0.8,0.15,,12.04,0.01128525952388414,0.1679728080635645,,,,0.1679728080635645,0.01128525952388414,12.04,,0.5356497092899943,1,3,40,0.2,1.5,Cuba
Curacao,,153817.0,,,,,,,,,,,0.2,0.0,0.0,0.0,0.0,,,,0.1679728080635645,,,,0.1679728080635645,,,,0.5356497092899943,1,3,40,0.2,1.5,Curacao
Cyprus,27393.93980965,1141166.0,,0.952674102783203,0.158000001907349,0.2383044,0.3485212,0.99,0.468590524731997,0.47965103,0.33355333,0.7607047376340015,0.2,0.0,0.0,0.0,0.2833333333333333,0.20174778291418224,0.5,0.0,0.1679728080635645,,,,0.1679728080635645,0.0,0.5,,0.5356497092899943,1,3,40,0.2,1.5,Cyprus
Czech Republic,28124.4644802821,10514272.0,0.0933,0.992513885498047,0.06900000095367427,0.2615189,0.4178777,0.999,0.157077590951439,0.40579885,0.45011736799999996,0.9209612045242804,0.2,1.0,0.5333333333333333,1.0,0.8166666666666668,0.23979983157078164,86.78,0.0690777073710352,0.1679728080635645,0.3900966699389196,0.614984306578787,0.3599999999999998,0.1679728080635645,0.0690777073710352,86.78,0.0933,0.5356497092899943,1,3,40,0.2,1.5,Czech Republic
Denmark,42482.7324552521,5614932.0,0.0913,0.98886833190918,0.07,0.4418965999999999,0.6474435000000001,1.0,0.127923230332797,0.67680752,0.35351148299999996,0.9360383848336016,0.2,0.0,0.0,0.0,1.0,0.23010606402758518,25.74,0.006072226335407568,0.1679728080635645,0.12554563272923977,0.03548006548636251,0.12500000000000003,0.1679728080635645,0.006072226335407568,25.74,0.0913,0.5356497092899943,1,3,40,0.2,1.5,Denmark
Djibouti,2902.5462446952697,872932.0,0.0603,0.844022979736328,,0.01797438,0.04367659,0.8740000000000001,0.396653891163679,0.2858701354316727,0.08565180357270068,0.7386730544181606,0.2,0.6000000000000001,0.6,0.4,0.0,0.2605986206727131,1.48,0.006169676099266541,0.1679728080635645,0.1583272262161764,2.3474975382714653,0.12925000000000003,0.1679728080635645,0.006169676099266541,1.48,0.0603,0.5356497092899943,1,3,40,0.2,1.5,Djibouti
Dominica,10011.3654275603,72003.0,,0.864302215576172,,,,1.0,0.268878516679002,0.5815343307526244,0.08303201217611587,0.865560741660499,0.2,0.0,0.0,0.0,0.0,1.4717082620307553,0.5,0.0,0.1679728080635645,,,,0.1679728080635645,0.0,0.5,,0.5356497092899943,1,3,40,0.2,1.5,Dominica
Dominican Republic,11795.4705790204,10403761.0,0.0501,0.911387329101563,0.14899999618530302,0.05700692,0.2295297,0.986,0.39014983499820893,0.1917471414625228,0.11760695886439584,0.7979250825008954,0.2,0.8,0.6666666666666667,0.6,0.35,0.3771503990888722,76.96,0.03484973710414988,-0.4,0.13139820456765433,0.3698817315827294,0.13,-0.4,0.03484973710414988,76.96,0.0501,0.5356497092899943,1,3,40,0.2,1.5,Dominican Republic
East Asia & Pacific (all income levels),13361.3645537254,2248612976.0,,0.925960311889648,0.044647502498053895,,,0.924452436266424,0.256045293260125,,,0.8342035715031495,0.2,0.0,0.0,0.0,0.0,,,,0.1679728080635645,,,,0.1679728080635645,,,,0.5356497092899943,1,3,40,0.2,1.5,East Asia & Pacific (all income levels)
East Asia & Pacific (developing only),10448.5183922431,2005810617.0,,0.9244515991210942,0.045156657343902805,0.1533484,0.3724527,0.9244346317934392,0.34566321862162896,,,0.7893857065859049,0.2,0.0,0.0,0.0,0.0,,,,0.1679728080635645,,,,0.1679728080635645,,,,0.5356497092899943,1,3,40,0.2,1.5,East Asia & Pacific (developing only)
Ecuador,10540.6573666533,15737878.0,0.043,0.8890049743652341,0.041999998092651404,0.09387966,0.17696589999999998,0.905,0.43993788094424396,0.2792929608576753,0.17364544512629726,0.7325310595278779,0.2,0.6000000000000001,0.8,0.8,0.3,0.25747347179967145,18.4,0.06925596070902182,0.1679728080635645,0.6003729639204807,0.049347718601538304,0.5987500000000001,0.1679728080635645,0.06925596070902182,18.4,0.043,0.5356497092899943,1,3,40,0.2,1.5,Ecuador
"Egypt, Arab Rep.",10733.488722812801,82056378.0,0.0925,0.9609768676757808,0.126999998092651,0.002091735,0.01016893,0.789,0.5796896234825689,0.10013164023017088,0.11927926539328736,0.6046551882587154,0.2,0.6000000000000001,0.6666666666666667,0.6,0.26666666666666666,0.4927783418827425,31.41,0.2004021134886876,0.58,0.4722193791093337,0.3341256794421712,0.4425,0.58,0.2004021134886876,31.41,0.0925,0.5356497092899943,1,3,40,0.2,1.5,"Egypt, Arab Rep."
El Salvador,7515.082656377621,6340454.0,0.057,0.837892837524414,0.06300000190734861,0.04984934,0.1816167,0.995,0.2843736458961,0.18429042105884488,0.1773739959750223,0.85531317705195,0.2,0.6000000000000001,0.6666666666666667,0.6,0.38333333333333336,0.13424357530792413,6.82,0.00899717179647867,0.1679728080635645,0.3273064505578179,0.9248016619480344,0.30500000000000005,0.1679728080635645,0.00899717179647867,6.82,0.057,0.5356497092899943,1,3,40,0.2,1.5,El Salvador
Equatorial Guinea,32685.0623108539,757014.0,,0.7206935882568359,0.08,,,0.6829999999999999,0.19213476316235997,,,0.7454326184188199,0.2,0.0,0.0,0.0,0.0,0.8236127269951562,46.3,0.023344820335325787,0.1679728080635645,,,,0.1679728080635645,0.023344820335325787,46.3,,0.5356497092899943,1,3,40,0.2,1.5,Equatorial Guinea
Eritrea,1157.3215429849001,6333135.0,,0.690192184448242,0.0719999980926514,,,0.341,0.545976813370913,,,0.3975115933145436,0.2,0.0,0.0,0.0,0.0,,2.0,0.010741685567223484,0.1679728080635645,,,,0.1679728080635645,0.010741685567223484,2.0,,0.5356497092899943,1,3,40,0.2,1.5,Eritrea
Estonia,25253.7672011471,1317997.0,0.0717,0.969785385131836,0.0880000019073486,0.18928570000000003,0.3582999,0.998,0.18887142988395497,0.51851898,0.34896655,0.9045642850580224,0.2,0.0,0.0,0.0,0.8166666666666668,0.2800603915970392,46.5,0.01820620931891829,0.1679728080635645,0.1292643993358241,1.3595050266517807,0.11271604938271605,0.1679728080635645,0.01820620931891829,46.5,0.0717,0.5356497092899943,1,3,40,0.2,1.5,Estonia
Ethiopia,1335.73227522925,94100756.0,0.0796,0.366042785644531,0.0569999980926514,,,0.231,0.3538248128239989,,,0.4385875935880005,0.2,0.6000000000000001,0.7333333333333333,0.8,0.31666666666666665,0.3781161653838428,1.94,0.01804793251093613,-0.33,0.14961154296847087,2.5425074127581992,0.12924999999999998,-0.33,0.01804793251093613,1.94,0.0796,0.5356497092899943,1,3,40,0.2,1.5,Ethiopia
