country,H,T_rebuild_K,T_rebuild_L,alpha,avg_prod_k,axfin_p,axfin_r,axhealth,bashs,fa,faref,finance_pre,gdp_pc_pp,income_elast,ophe,original_country,pe,peref,pi,plgp,pop,pov_head,prepare_scaleup,protection,protectionref,pv,rating,share1,share1_ref,shew,social_p,social_r,unemp,v,v_s
Bulgaria $(\eta=1)$,0.5356497092899943,3.0,40.0,1.0,0.3230784715072762,0.01463466,0.07025403,0.7993348992788739,0.995,0.0406646206660324,0.0406646206660324,0.8,15695.0177942759,1.0,0.396330201442252,Bulgaria,0.1679728080635645,0.1679728080635645,0.2,0.969386520385742,7265115.0,0.2,0.6666666666666667,28.32,28.32,0.6038452156639729,0.55,0.0641,0.0641,0.8,0.66309464,0.404462695,0.128999996185303,0.3928059851705749,0.37300000000000005
Bulgaria $(\eta=2)$,0.5356497092899943,3.0,40.0,1.0,0.3230784715072762,0.01463466,0.07025403,0.7993348992788739,0.995,0.0406646206660324,0.0406646206660324,0.8,15695.0177942759,2.0,0.396330201442252,Bulgaria,0.1679728080635645,0.1679728080635645,0.2,0.969386520385742,7265115.0,0.2,0.6666666666666667,28.32,28.32,0.6038452156639729,0.55,0.0641,0.0641,0.8,0.66309464,0.404462695,0.128999996185303,0.3928059851705749,0.37300000000000005
Burkina Faso $(\eta=1)$,0.5356497092899943,3.0,40.0,1.0,0.40566509188102295,0.0373907,0.1070983,0.6633281224304015,0.659,0.011201136451543192,0.011201136451543192,0.8,1630.4444967271695,1.0,0.33234375513919706,Burkina Faso,-0.3,-0.3,0.2,0.6907449340820311,16934839.0,0.2,0.8,1.9,1.9,0.04973709908652291,0.25,0.0672,0.0672,0.6000000000000001,0.4946753901560933,0.3235166050780195,0.030999999046325694,0.6001502667174701,0.59875
Burkina Faso $(\eta=2)$,0.5356497092899943,3.0,40.0,1.0,0.40566509188102295,0.0373907,0.1070983,0.6633281224304015,0.659,0.011201136451543192,0.011201136451543192,0.8,1630.4444967271695,2.0,0.33234375513919706,Burkina Faso,-0.3,-0.3,0.2,0.6907449340820311,16934839.0,0.2,0.8,1.9,1.9,0.04973709908652291,0.25,0.0672,0.0672,0.6000000000000001,0.4946753901560933,0.3235166050780195,0.030999999046325694,0.6001502667174701,0.59875
Cambodia $(\eta=1)$,0.5356497092899943,3.0,40.0,1.0,0.45929444965397004,0.002184594,0.0120755,0.57130100439808,0.74,0.1597953949501889,0.1597953949501889,0.0,2943.52466835185,1.0,0.59739799120384,Cambodia,-0.25,-0.25,0.2,0.642295989990234,15135169.0,0.2,0.0,5.29,5.29,1.5739206678138076,0.3,0.08990000000000001,0.08990000000000001,0.0,0.02478883990859972,0.028243106138826062,0.0030000001192092896,0.24476278848761043,0.2179012345679012
Cambodia $(\eta=2)$,0.5356497092899943,3.0,40.0,1.0,0.45929444965397004,0.002184594,0.0120755,0.57130100439808,0.74,0.1597953949501889,0.1597953949501889,0.0,2943.52466835185,2.0,0.59739799120384,Cambodia,-0.25,-0.25,0.2,0.642295989990234,15135169.0,0.2,0.0,5.29,5.29,1.5739206678138076,0.3,0.08990000000000001,0.08990000000000001,0.0,0.02478883990859972,0.028243106138826062,0.0030000001192092896,0.24476278848761043,0.2179012345679012
Cameroon $(\eta=1)$,0.5356497092899943,3.0,40.0,1.0,0.41973757460294764,0.09631175,0.1015309,0.5105816275800514,0.636,0.03702171514027235,0.03702171514027235,0.0,2739.34394480018,1.0,0.6148367448398971,Cameroon,0.38,0.38,0.2,0.6975482177734379,22253959.0,0.2,0.0,6.73,6.73,2.2680720591950805,0.3,0.0635,0.0635,0.0,0.149924286778418,0.029862131888120688,0.04,0.16982489674254475,0.13
Cameroon $(\eta=2)$,0.5356497092899943,3.0,40.0,1.0,0.41973757460294764,0.09631175,0.1015309,0.5105816275800514,0.636,0.03702171514027235,0.03702171514027235,0.0,2739.34394480018,2.0,0.6148367448398971,Cameroon,0.38,0.38,0.2,0.6975482177734379,22253959.0,0.2,0.0,6.73,6.73,2.2680720591950805,0.3,0.0635,0.0635,0.0,0.149924286778418,0.029862131888120688,0.04,0.16982489674254475,0.13
Canada $(\eta=1)$,0.5356497092899943,3.0,40.0,1.0,0.3354838938558465,0.3688955,0.6416324999999999,0.9243911986027191,1.0,0.03686313445856925,0.03686313445856925,0.6,41898.8823594636,1.0,0.15121760279456198,Canada,0.1679728080635645,0.1679728080635645,0.2,0.998382568359375,35154279.0,0.2,0.8666666666666666,84.08,84.08,0.8395411375641271,1.0,0.071,0.071,0.8,0.631,0.14,0.07099999904632573,0.13862152620172682,0.1277777777777778
Canada $(\eta=2)$,0.5356497092899943,3.0,40.0,1.0,0.3354838938558465,0.3688955,0.6416324999999999,0.9243911986027191,1.0,0.03686313445856925,0.03686313445856925,0.6,41898.8823594636,2.0,0.15121760279456198,Canada,0.1679728080635645,0.1679728080635645,0.2,0.998382568359375,35154279.0,0.2,0.8666666666666666,84.08,84.08,0.8395411375641271,1.0,0.071,0.071,0.8,0.631,0.14,0.07099999904632573,0.13862152620172682,0.1277777777777778
Colombia $(\eta=1)$,0.5356497092899943,3.0,40.0,1.0,0.2797792564799715,0.02795298,0.1365075,0.9256254004451591,0.9905,0.03419750354611952,0.03419750354611952,0.8,12025.385371844199,1.0,0.139249199109682,Colombia,1.19,1.19,0.2,0.8471189117431641,48321405.0,0.2,0.7333333333333333,19.71,19.71,1.274835560047963,0.6,0.033,0.033,0.8,0.12269429867232788,0.08732756485972662,0.105,0.27694309472932493,0.23938271604938266
Colombia $(\eta=2)$,0.5356497092899943,3.0,40.0,1.0,0.2797792564799715,0.02795298,0.1365075,0.9256254004451591,0.9905,0.03419750354611952,0.03419750354611952,0.8,12025.385371844199,2.0,0.139249199109682,Colombia,1.19,1.19,0.2,0.8471189117431641,48321405.0,0.2,0.7333333333333333,19.71,19.71,1.274835560047963,0.6,0.033,0.033,0.8,0.12269429867232788,0.08732756485972662,0.105,0.27694309472932493,0.23938271604938266
"Congo, Dem. Rep. $(\eta=1)$",0.5356497092899943,3.0,40.0,1.0,0.23705600185809048,0.008708673000000002,0.01915755,0.7369766046686604,0.8009999999999999,0.036329393275439416,0.036329393275439416,0.0,783.259253578526,1.0,0.32704679066267894,"Congo, Dem. Rep.",-0.09,-0.09,0.2,0.7072544860839841,67513677.0,0.2,0.0,2.04,2.04,0.23258230992116702,0.25,0.0547,0.0547,0.0,0.012981287634021592,0.030175238221482683,0.08,0.5111220524009413,0.5050000000000002
"Congo, Dem. Rep. $(\eta=2)$",0.5356497092899943,3.0,40.0,1.0,0.23705600185809048,0.008708673000000002,0.01915755,0.7369766046686604,0.8009999999999999,0.036329393275439416,0.036329393275439416,0.0,783.259253578526,2.0,0.32704679066267894,"Congo, Dem. Rep.",-0.09,-0.09,0.2,0.7072544860839841,67513677.0,0.2,0.0,2.04,2.04,0.23258230992116702,0.25,0.0547,0.0547,0.0,0.012981287634021592,0.030175238221482683,0.08,0.5111220524009413,0.5050000000000002
"Congo, Rep. $(\eta=1)$",0.5356497092899943,3.0,40.0,1.0,0.37275342390232385,0.017709810000000003,0.08744304,0.8542364258822975,0.925,0.0348527324926088,0.0348527324926088,0.0,5680.2299827443285,1.0,0.21652714823540506,"Congo, Rep.",0.1679728080635645,0.1679728080635645,0.2,0.7029091644287111,4447632.0,0.2,0.0,3.43,3.43,2.4968341791012727,0.35,0.0561,0.0561,0.0,0.1719690500661691,0.1521444160488617,0.065,0.15871498949448087,0.13000000000000003
"Congo, Rep. $(\eta=2)$",0.5356497092899943,3.0,40.0,1.0,0.37275342390232385,0.017709810000000003,0.08744304,0.8542364258822975,0.925,0.0348527324926088,0.0348527324926088,0.0,5680.2299827443285,2.0,0.21652714823540506,"Congo, Rep.",0.1679728080635645,0.1679728080635645,0.2,0.7029091644287111,4447632.0,0.2,0.0,3.43,3.43,2.4968341791012727,0.35,0.0561,0.0561,0.0,0.1719690500661691,0.1521444160488617,0.065,0.15871498949448087,0.13000000000000003
Costa Rica $(\eta=1)$,0.5356497092899943,3.0,40.0,1.0,0.48189675491736383,0.07918306,0.2792255,0.8787732278882769,0.991,0.02002755712618558,0.02002755712618558,1.0,13430.743207071202,1.0,0.233453544223446,Costa Rica,0.1679728080635645,0.1679728080635645,0.2,0.877201766967773,4872166.0,0.2,0.9333333333333333,17.02,17.02,2.516460095766059,0.48333333333333334,0.0421,0.0421,1.0,0.4696688141506717,0.20280860501907427,0.0759999990463257,0.17915744323632224,0.15499999999999994
Costa Rica $(\eta=2)$,0.5356497092899943,3.0,40.0,1.0,0.48189675491736383,0.07918306,0.2792255,0.8787732278882769,0.991,0.02002755712618558,0.02002755712618558,1.0,13430.743207071202,2.0,0.233453544223446,Costa Rica,0.1679728080635645,0.1679728080635645,0.2,0.877201766967773,4872166.0,0.2,0.9333333333333333,17.02,17.02,2.516460095766059,0.48333333333333334,0.0421,0.0421,1.0,0.4696688141506717,0.20280860501907427,0.0759999990463257,0.17915744323632224,0.15499999999999994
Croatia $(\eta=1)$,0.5356497092899943,3.0,40.0,1.0,0.23052247153165525,0.07799293,0.1524273,0.93768535409831,1.0,0.10140820045641144,0.10140820045641144,0.8,20048.9871590995,1.0,0.12462929180338,Croatia,0.1679728080635645,0.1679728080635645,0.2,0.994395370483398,4255700.0,0.2,0.8,179.79,179.79,0.6339137970636073,0.4666666666666666,0.0801,0.0801,0.8,0.549424,0.270493,0.17700000762939497,0.38557725697169964,0.35962962962962963
Croatia $(\eta=2)$,0.5356497092899943,3.0,40.0,1.0,0.23052247153165525,0.07799293,0.1524273,0.93768535409831,1.0,0.10140820045641144,0.10140820045641144,0.8,20048.9871590995,2.0,0.12462929180338,Croatia,0.1679728080635645,0.1679728080635645,0.2,0.994395370483398,4255700.0,0.2,0.8,179.79,179.79,0.6339137970636073,0.4666666666666666,0.0801,0.0801,0.8,0.549424,0.270493,0.17700000762939497,0.38557725697169964,0.35962962962962963
Czech Republic $(\eta=1)$,0.5356497092899943,3.0,40.0,1.0,0.23979983157078164,0.2615189,0.4178777,0.9209612045242804,0.999,0.0690777073710352,0.0690777073710352,1.0,28124.4644802821,1.0,0.157077590951439,Czech Republic,0.1679728080635645,0.1679728080635645,0.2,0.992513885498047,10514272.0,0.2,0.5333333333333333,86.78,86.78,0.614984306578787,0.8166666666666668,0.0933,0.0933,1.0,0.40579885,0.45011736799999996,0.06900000095367427,0.3900966699389196,0.3599999999999998
Czech Republic $(\eta=2)$,0.5356497092899943,3.0,40.0,1.0,0.23979983157078164,0.2615189,0.4178777,0.9209612045242804,0.999,0.0690777073710352,0.0690777073710352,1.0,28124.4644802821,2.0,0.157077590951439,Czech Republic,0.1679728080635645,0.1679728080635645,0.2,0.992513885498047,10514272.0,0.2,0.5333333333333333,86.78,86.78,0.614984306578787,0.8166666666666668,0.0933,0.0933,1.0,0.40579885,0.45011736799999996,0.06900000095367427,0.3900966699389196,0.3599999999999998
Denmark $(\eta=1)$,0.5356497092899943,3.0,40.0,1.0,0.23010606402758518,0.4418965999999999,0.6474435000000001,0.9360383848336016,1.0,0.006072226335407568,0.006072226335407568,0.0,42482.7324552521,1.0,0.127923230332797,Denmark,0.1679728080635645,0.1679728080635645,0.2,0.98886833190918,5614932.0,0.2,0.0,25.74,25.74,0.03548006548636251,1.0,0.0913,0.0913,0.0,0.67680752,0.35351148299999996,0.07,0.12554563272923977,0.12500000000000003
Denmark $(\eta=2)$,0.5356497092899943,3.0,40.0,1.0,0.23010606402758518,0.4418965999999999,0.6474435000000001,0.9360383848336016,1.0,0.006072226335407568,0.006072226335407568,0.0,42482.7324552521,2.0,0.127923230332797,Denmark,0.1679728080635645,0.1679728080635645,0.2,0.98886833190918,5614932.0,0.2,0.0,25.74,25.74,0.03548006548636251,1.0,0.0913,0.0913,0.0,0.67680752,0.35351148299999996,0.07,0.12554563272923977,0.12500000000000003
Dominican Republic $(\eta=1)$,0.5356497092899943,3.0,40.0,1.0,0.3771503990888722,0.05700692,0.2295297,0.7979250825008954,0.986,0.03484973710414988,0.03484973710414988,0.6,11795.4705790204,1.0,0.39014983499820893,Dominican Republic,-0.4,-0.4,0.2,0.911387329101563,10403761.0,0.2,0.6666666666666667,76.96,76.96,0.3698817315827294,0.35,0.0501,0.0501,0.8,0.1917471414625228,0.11760695886439584,0.14899999618530302,0.13139820456765433,0.13
Dominican Republic $(\eta=2)$,0.5356497092899943,3.0,40.0,1.0,0.3771503990888722,0.05700692,0.2295297,0.7979250825008954,0.986,0.03484973710414988,0.03484973710414988,0.6,11795.4705790204,2.0,0.39014983499820893,Dominican Republic,-0.4,-0.4,0.2,0.911387329101563,10403761.0,0.2,0.6666666666666667,76.96,76.96,0.3698817315827294,0.35,0.0501,0.0501,0.8,0.1917471414625228,0.11760695886439584,0.14899999618530302,0.13139820456765433,0.13
Ecuador $(\eta=1)$,0.5356497092899943,3.0,40.0,1.0,0.25747347179967145,0.09387966,0.17696589999999998,0.7325310595278779,0.905,0.06925596070902182,0.06925596070902182,0.8,10540.6573666533,1.0,0.43993788094424396,Ecuador,0.1679728080635645,0.1679728080635645,0.2,0.8890049743652341,15737878.0,0.2,0.8,18.4,18.4,0.049347718601538304,0.3,0.043,0.043,0.6000000000000001,0.2792929608576753,0.17364544512629726,0.041999998092651404,0.6003729639204807,0.5987500000000001
