country,H,T_rebuild_K,T_rebuild_L,alpha,axfin_p,axfin_r,axhealth,fa,finance_pre,pe,pi,plgp,prepare_scaleup,protection,pv,rating,share1,shew,social_p,social_r,unemp,v,v_s
Albania,0.02646029554964624,-0.026573480934877214,-0.0005656404877818488,-0.11462968018266517,0.012093532222756664,0.015786025602537723,0.05875121092968616,-0.022107172773566663,0.029694250123224464,-0.23405990823982536,0.0,0.05875121092968616,0.059389749832439165,-5.551115123125783e-14,-0.10740865120278942,0.029694250123224464,1.8059869859211042,0.013114959782511981,0.22282938246748207,0.07754683902361226,-0.058731775205433934,0.1827024498199381,-0.4082337497172128
Argentina,0.010346333930488782,-0.029443587928501547,-0.00026261571955954466,-0.11384583380691371,0.008460428682299792,0.0036368183633506135,0.0541949437924405,-0.015481420876262142,0.02560116724031891,-0.2592761490113893,0.024939982289140517,0.0541949437924405,0.05120518414564179,0.0,-0.11435817535421222,0.02560116724031891,3.818748923607451,0.006233363016472371,0.17841163382453784,0.0187373560679438,-0.05417273730257133,0.35108840814940256,-0.45904688464531995
Armenia,0.04502822258151129,-0.050717671608080384,-0.00011820450351862632,-0.18493056482787873,0.0007749504414289454,0.004613184086177391,0.011061793815936305,-0.007677009250861566,0.004011711440154997,-0.1715435082471073,0.005800784518616986,0.011061793815936305,0.008021987770001626,5.551115123125783e-14,-0.058078523477222976,0.004011711440154997,1.2289714829237797,0.002900553131679473,0.016015681292391726,0.02361285966256954,-0.011061085282648708,2.3928187482184504,-2.5186784658176586
Australia,0.005662263958372549,-0.04026932128609051,-3.594901065717693e-05,-0.15517929646774453,0.0009160132873331506,0.0037556893854873152,0.010409950915946098,-0.03673387055996846,0.010221751292727177,-0.20803413175485286,0.014976940026056873,0.010409950915946098,0.02044217968366624,1.1102230246251565e-13,-0.041739508462090846,0.010221751292727177,2.191549954820071,0.002995245651338241,0.07525849962991549,0.017440579268168666,-0.010409343350337164,0.8672727876302688,-0.9287114617775316
Austria,0.005663378021436571,-0.03313154143796959,-4.7553740778472076e-05,-0.13296768656018143,0.0034536361657178105,0.0004706728356507206,0.016411362827151166,-0.015751071891834112,0.03208273589616617,-0.17839788814344448,0.0,0.016411362827151166,0.06417024394594906,0.0,-0.071729007126764,0.03208273589616617,3.9532474860466404,0.0033374439146194312,0.45861304133032466,0.007488965785951152,-0.01640980724665342,1.4289475647535355,-1.9844620511933475
Azerbaijan,0.03824928817197648,-0.0636429769421687,-0.00010384787174633203,-0.21866604397757783,2.744846688829128e-05,0.004772598229840774,0.010852957326445978,-0.005648024652804562,0.002337658487505667,-0.15417153653507487,0.0,0.010852957326445978,0.004674536993376499,0.0,-0.0010232993575276517,0.002337658487505667,1.148101583850758,0.002075790011768497,0.010534237244841371,0.025929454342488167,-0.010852154650631274,2.5913982191704266,-2.683532496269736
Bangladesh,0.08302745064431294,-0.036278723926641554,-0.0011006574098249011,-0.13808647368579452,0.029451203453156882,0.029923559182354342,0.04913461092787008,-0.017530022166922787,0.03531290749009264,-0.19488146250984384,0.05996756854753649,0.04913461092787008,0.07062861652068486,0.0,-0.10538486826067173,0.03531290749009264,1.6859708228387227,0.014983745266483606,0.13824033231896182,0.0663050553361133,-0.0491195766465502,0.31057336181905537,-0.5108965422919165
Belarus,0.026852840801228073,-0.05263372130087651,-0.00016141004255398883,-0.19037862682180773,0.005545093657022271,0.002148433533355476,0.03156151334166024,-0.015219666103682972,0.02681526295789105,-0.13600944757646838,0.014937047714824736,0.03156151334166024,0.05363292720445001,-5.551115123125783e-14,-0.05466583625929333,0.02681526295789105,2.8195196868079364,0.003733689595053491,0.27160733769904244,0.013115321716827832,-0.03155568009627352,1.128596306894325,-1.4441126756465361
Belgium,0.014539164193971832,-0.033601520628423476,-5.051313717308048e-05,-0.13757029073013793,0.002376702107953488,0.0016167057629856707,0.007152407790755877,-0.018241468573820807,0.017824958584822248,-0.17855585791332063,0.0,0.007152407790755877,0.03565076188505323,0.0,-0.05252949742778901,0.017824958584822248,3.130484945477241,0.002490017738832062,0.3397317285023238,0.014061647270524613,-0.007152140402144624,2.29613893265157,-2.762304889259659
Benin,-0.03387646334901406,-0.025937035052270296,-0.0013452364913124626,-0.09625827977416401,0.031383667736528675,0.03332767750915955,0.07804182230156109,-0.0047083699339922624,0.01753994263700709,-0.14442786777194017,0.0,0.07804182230156109,0.03508140888314193,-2.7755575615628914e-14,-0.1977053738714818,0.01753994263700709,2.293526810188462,0.009312224516305756,0.07874202172372669,0.07055261335489615,-0.07798338783959746,-0.04509455071263768,-0.032316342522598074
Bolivia,0.0056671786882178665,-0.03948089346969552,-0.00033282640532483754,-0.14104364260458802,0.013778003740499978,0.003172338422813281,0.06318425445578368,-0.00893616478644943,0.023561668694299653,-0.2959450160369137,0.010657345320519429,0.06318425445578368,0.04712690222205551,-2.7755575615628914e-14,-0.0765804772953349,0.023561668694299653,4.765779279176596,0.0035512768483403345,0.20602011322665148,0.01255660578064477,-0.06315110927862522,0.5515546337314381,-0.6442747296030171
Bosnia and Herzegovina,0.024046625048013137,-0.034220669993367814,-0.0010860244170629585,-0.12744203357401007,0.02397658367653266,0.028023254041664725,0.081367656010356,-0.0106659952140431,0.02561880622664603,-0.19246015299106967,0.0,0.081367656010356,0.05124046042848107,0.0,-0.11672407241675176,0.02561880622664603,2.075479602237751,0.010854351671085727,0.17210803438144628,0.07272255282214646,-0.08131888244639063,0.05285308053365467,-0.2079074617840626
Botswana,0.004133672612649519,-0.03152135423428737,-0.00039054459732845714,-0.1207416683681739,0.012319937788107804,0.008142279997902513,0.05709809198584104,-0.03132971607305857,0.013266655449650777,-0.27948980949327185,0.026753925561340264,0.05709809198584104,0.026532251951538743,0.0,-0.12588940411101257,0.013266655449650777,5.456388283483604,0.00534722077577543,0.049981569410939564,0.026590281288041417,-0.057074562571146625,0.40005946339272125,-0.44070184401201473
Brazil,0.00805174361312444,-0.03122846186165429,-0.00046613573584375345,-0.1211610597240953,0.0126127315142055,0.010578867891297694,0.05100002715169305,-0.04304137651683915,0.01433151574031788,-0.2735364909145499,0.005855725887848884,0.05100002715169305,0.028661759326420455,0.0,-0.13696929273043779,0.01433151574031788,4.317711603519625,0.005855725887848884,0.053636974948034766,0.03938937564734735,-0.05098211490794924,0.4206398258568833,-0.47227843217656496
Bulgaria,0.03037710444192543,-0.044029342993412435,-0.00014904826889372558,-0.1640449930175314,0.002453622044096271,0.004627532809275969,0.01865345468277102,-0.029842548205094577,0.0112796852890229,-0.20891703280867535,0.014055444323257671,0.01865345468277102,0.02255833455400147,5.551115123125783e-14,-0.04449196804195976,0.0112796852890229,2.5416737693534364,0.003513496737717059,0.13058686095845928,0.02677137449702549,-0.018651384916967828,1.025960960815142,-1.1186440732801062
Burkina Faso,0.07123033193034978,-0.05489789677393109,-0.000759587109322446,-0.19718040393734704,0.005513347978103322,0.03241423653971287,0.050599388009997526,-0.03583520459954359,0.016019170471170963,-0.21632072494237597,0.027969388795012762,0.050599388009997526,0.032035897111426515,-5.551115123125783e-14,-0.05035487336951805,0.016019170471170963,0.7048232222483519,0.009319993887091371,0.030726674917158636,0.10365004350237905,-0.05058493064541425,0.5653485805235947,-0.6351454248536004
