country	H	alpha	avg_prod_k	bashs	finance_pre	loan40	loan60	ophe	pe	plgp	prepare_scaleup	pv	rating	saved40	saved60	share1	shew	social_p	social_r	unemp	v
Czech Republic	4.005530268716143	-67263.57631774379	-6.723870694834803	9.302576383265837	13.312546474969638	164.66201193431067	96.15849952239714	-65.62669951350519	-5.873287298506032	4.681683928577457	7.327216665980931	-7.188611718276909	16.299321456929267	152.50521698745533	75.23630930869389	15.631378690707857	3.5259852582370574	4.394839566823433	9.16405507975821	-16.83542989951646	-24.283694380214435
Denmark	4.770695367078476	-59638.67426624887	-5.961611198698991	7.17310380765395	inf	222.97786626101012	34.97216146549014	-55.73508166565037	-7.080378085510142	3.5543867662414135	134776.72111072933	-8.688709261637674	inf	128.6434672578605	18.58453807757637	28.473710039676508	44595.69249821697	3.5340942225142857	11.347701570446732	-12.552781220670148	-50.31690388981701
Djibouti																					
Dominica																					
Dominican Republic	1.9212606707496416	-63469.859861433695	-6.345468655359108	5.978136617792034	40.94156039484569	48.667422447355754	13.713541749817493	-15.102310453134073	-3.001946414275105	3.6924529316486816	25.85532969364689	-3.888896284802451	70.16754243705032	213.36120176898126	26.89219937189819	15.783193998149468	4.660947762176807	9.412188426926486	21.195200325889857	-4.90486031612095	-101.44204251813203
East Asia & Pacific (all income levels)																					
East Asia & Pacific (developing only)																					
Ecuador	2.7050044836198084	-70309.18448821502	-7.028477051478773	4.607180174455873	23.503250751183046	113.98311151394714	29.744105813275894	-8.805127520275619	-3.1302334598446406	2.4761864027771776	17.091438862060514	-4.234353666335535	62.65570415122269	255.7466586653151	52.2311207665942	20.57650872954451	6.629060935902305	6.188759800337794	18.33076282639909	-13.464753061712006	-69.35565733385272
Egypt, Arab Rep.	2.418252535090205	-47137.4070088088	-4.712887240956007	6.742372792756298	inf	41.297489009374665	25.208052128513614	-8.927781770488352	-4.040470719217025	2.7678773237169803	1395192.2825860488	-5.36796211946549	inf	4698.5674372283465	727.3333922643529	6.650341444838279	44321.888141940755	30.766578388543525	31.2927149226497	-5.235931173142894	27.399104542101313
El Salvador	2.4278701424842	-137645.22217154416	-13.754920890198703	4.004707192802407	80.115533530148	231.9996999949671	51.0497659873826	-11.806688925107515	-3.001881086987789	2.2787946793473024	48.87818889262712	-4.011920274335206	125.36943855288511	423.670669744981	34.953810313483714	12.042746171649224	7.223300415335472	16.379532349834417	36.85662578294908	-7.5881895907784065	80.5297622380949
Equatorial Guinea																					
Eritrea																					
Estonia	3.4013662696463545	-54707.87738954076	-5.469091978873643	5.790092471336339	inf	91.69433807885034	28.13144761659585	-31.36323372009126	-4.547834724202423	2.9792731024576655	139752.37915378326	-5.856941116672974	inf	138.95042611092717	32.41422968404491	16.288540718812644	43819.45178412719	4.0912864716005615	11.303719800464938	-8.208041594844397	-49.74216887340333
Ethiopia																					
Euro area																					
Europe & Central Asia (all income levels)																					
Europe & Central Asia (developing only)																					
European Union																					
Faeroe Islands																					
Fiji																					
Finland	4.352741625822624	-70155.11119410011	-7.012652907491133	10.793487388092858	18.47762645005515	155.414400838097	26.98249471018088	-57.9799522741888	-8.712894026941242	5.415623048279027	8.288101001051066	-11.138964410137056	15.031421730200636	147.33040392969517	21.662921946446847	73.17393070200819	4.688085203558656	4.21349116317816	9.625622514231017	-16.436863499546053	-28.455834507608127
Fragile and conflict affected situations																					
France	2.964666653048267	-73847.83245042419	-7.38182719203317	9.206931149774233	11.856398893394552	202.2950270814399	59.233506511347805	-122.02772134275247	-6.308385201526844	4.603465064503561	6.185192254411081	-8.028469653548592	12.933020732915669	121.00692975241888	26.898563253551547	32.882055256858166	3.519127613037857	3.6069480906900044	7.278377619539965	-10.844620558973615	-18.24875051206531
French Polynesia																					
Gabon	1.8164292945165208	-74862.63962068822	-7.4841985315786355	7.0192206343419405	inf	39.89285803923395	14.484646821136616	-15.136404043252261	-3.485168339519525	5.240104510287416	461100.5680230945	-4.409003181059449	inf	573.1845220166842	37.80617464839543	14.499919590356406	47450.924987397026	11.081608621946085	22.378939818953246	-3.9975433347693707	24.97175541106649
Gambia, The																					
Georgia																					
Germany	5.229415249674862	-57065.964844301314	-5.704773234399008	10.219523888958733	18.29592489273922	591.2246834819828	88.9006940011239	-84.74834522563151	-10.144387571120081	5.309264281191329	8.130620508592296	-14.231786217879401	14.635580017704886	272.9254384908477	36.4613874429298	-99.11499723005839	4.577022099223131	4.022353502253877	8.92828831775865	-24.102240363211415	-32.49478244479242
Ghana	2.1113555451167665	-53589.00591597438	-5.357732349750992	8.302530840947686	26.835678147736846	49.69768736394413	24.70552284872733	-19.775914472891618	-3.477926436047303	3.9311314208703894	18.226217256969267	-4.522301018650039	56.81000794899459	386.0141463388563	27.984833773413452	17.840934449090714	4.4815368478858755	5.676596555423881	13.51789170918952	-15.431589840260886	-32.56539868060265
Greece	1.3140872277161433	-83354.27052054401	-8.33223056307692	9.062375927602321	9.326397653388938	38.11519580102965	33.80408871230725	-29.92840102956345	-3.3653049958376187	4.780394017420025	6.99407021300814	-4.118112024465973	27.96910633998541	81.2248422863799	40.963374672334545	15.584413897755876	4.428061076151735	3.5703747832381114	3.2670094336914826	inf	-9.009264052671075
Greenland																					
Grenada																					
Guam																					
Guatemala	2.055702130466479	-41728.7929928904	-4.172289417913514	11.074318896728032	41.205841849821184	89.33147673204301	26.269124285103544	-10.693351148528757	-3.180967580972209	4.020544224826863	23.17542804936599	-4.155018991718823	52.96915343067913	365.3831376055779	49.45570794246507	25.83670100985243	4.348005636303396	6.8568664745526	23.143829585262353	-25.460226444507487	-95.95457751220172
Guinea																					
Guinea-Bissau																					
Guyana																					
Haiti																					
Heavily indebted poor countries (HIPC)																					
High income																					
High income: OECD																					
High income: nonOECD																					
Honduras	2.1649090373834246	-57905.24254174927	-5.789107091523631	6.094518884116149	24.10802719976665	130.8662177091045	32.06461458873279	-11.09109350495436	-2.8529734432780054	3.6317849372983337	17.938717636709804	-3.8735708822620794	70.10835097618089	385.5373292725286	69.40606310615742	34.95711373205689	10.157245318710725	6.222054574631057	15.881921422303057	-15.036461866853537	-156.45958552542308
Hong Kong SAR, China																					
Hungary	2.3293564336768497	-77546.82234065047	-7.75153096229042	8.029561667115594	inf	3221.3539512320976	52.75757678378803	-29.394856897036323	-20.07541678617134	4.056851181611368	92305.4292871226	-73.78911932940696	inf	4615.057111475201	51.55318540490375	-31.90404238268136	3.4951324833493196	2.2945952147772095	3.630099263026552	-9.751513197054473	-14.94229894779826
Iceland																					
India																					
Indonesia																					
Iran, Islamic Rep.																					
Iraq																					
Ireland	3.027777008403862	-48713.372478443256	-4.869993878501509	9.160458547957191	inf	269.60298267691195	29.37319222145293	-61.02070568201576	-8.869483428671048	4.673702732630573	156477.6715442636	-11.546757572372076	inf	142.05469762557775	17.463377829759963	546.4595356474265	42240.74007426424	2.292918260613895	5.759195646609129	-8.740845904758991	-23.56456357053793
Isle of Man																					
Israel																					
Italy	1.865865851855734	-86757.84221124026	-8.671934716719788	6.7014134108068175	10.21671090584145	301.64080958526796	114.22707503556748	-32.79096158800212	-4.208504143924096	3.333273865265352	5.837549557749811	-5.3225814519528605	13.620220399080313	287.4628061280927	69.98114955047843	22.351106327482448	3.4781374744940945	3.320905575033316	5.009117681267012	-6.7975007111699846	-11.916454528308584
Jamaica	2.0318843047429267	-61678.41564229223	-6.16638559000235	5.737316492712771	37.95652472765467	47.68208866835181	21.018975385365255	-19.494759080567544	-3.51206774751806	3.443117697855232	28.464949484738973	-4.545517560059066	113.81598142369425	49.33689702162332	19.559213440011874	16.59524563923144	4.658343776719397	8.829807639541503	24.663033159072125	-4.699799375275529	-147.41611294643016
Japan																					
Jordan	2.0443811758635033	-106170.60912523989	-10.611491220712546	4.530846304904751	43.57656095594343	44.263616977064096	29.05306821437131	-15.836637871313966	-4.032653951816496	2.304783029258045	26.812586789765156	-5.169260876188715	69.70596546552626	896.2887216415979	66.6398277516713	9.045735632139612	6.848509271031575	8.758493425887705	12.881897954632478	-4.476885415654626	-44.191736808059304
Kazakhstan																					
Kenya	2.6373294999646504	-50782.79879028871	-5.077299177291134	17.092887467214233	344.3251538842138	17.432300268123647	7.285223191379273	-15.728683363527113	-2.5840839851013415	4.821956493710556	183.60307689367815	-3.530646321783612	393.42143804661356	112.15712230373533	15.324609834067246	13.141773481922234	4.619794719648308	34.07858771929725	68.77421405346811	-10.172051074398526	60.88857692133457
Kiribati																					
Korea, Dem. Rep.																					
Korea, Rep.																					
Kosovo																					
Kuwait																					
Kyrgyz Republic	3.74280706252019	-37625.74239337687	-3.761943326792596	4.772181126664722	inf	61.36777174628126	31.501214946255686	-13.581890994209447	-3.614009065862549	2.4364003233808673	inf	-4.82591036504022	inf	6493.998193102995	864.1684665083383	8.330110693620409	42046.67005106221	15.082176135601307	37.129332012368984	-7.389353369205019	52.232112663032005
Lao PDR	2.6791024720667647	-75172.56662252461	-7.514522391463292	12.30221894832171	inf	38.497529408621105	21.44033365933736	-13.370091863462363	-3.2455486028614033	3.6494764501498853	inf	-4.448892717783098	inf	97.37268978827464	28.847101380805313	7.895983387647923	47779.55590635581	50.34935087647455	29.41608444684772	-45.58104998024748	27.090043887953822
Latin America & Caribbean (all income levels)																					
Latin America & Caribbean (developing only)																					
Latvia	2.210140653903172	-71863.48571525313	-7.183665262207217	5.009435659898744	inf	103.13182134607858	22.908443177755736	-13.396695266273696	-5.439622644716737	2.690710920951093	153611.6319284506	-6.484474676857292	inf	400.3019068447283	39.23112035625289	32.55003480874189	45338.515904216205	3.345199938540891	10.142567979647977	-5.641221131616388	-58.88404675957411
Least developed countries: UN classification																					
Lebanon																					
Lesotho																					
Liberia	3.3240170142358663	-42926.314936180825	-4.291834826811538	13.320171048951552	inf	28.322603426208136	14.380173479400844	-29.065966726707323	-2.91146951426884	4.550429358844874	inf	-4.053242596028531	inf	276.60981955912484	37.99476087252333	9.121577660529743	43681.25399619246	56.76993187762627	41.39554529696046	-20.83477958423844	28.914710208195586
Libya																					
Liechtenstein																					
Lithuania	2.6094764004561846	-52871.140123431374	-5.285644641066005	6.195509166635094	inf	213.1392442164118	21.930112889654588	-21.711308954538435	-9.941287856027982	3.1771989098814064	167125.17735597346	-12.87395691039653	inf	639.2192874384496	29.1337251852232	-162.42382900966857	43196.738857664954	2.4836219600959297	6.920387866335104	-6.56299975125342	-36.91333036847551
Low & middle income																					
Low income																					
Lower middle income																					
Luxembourg																					
Macao SAR, China																					
Macedonia, FYR																					
Madagascar	1.853414238684621	-82465.09360850135	-8.243946045050905	13.805100835645774	107.26416661675526	14.636597687419158	9.115488434093539	-19.26542766158523	-3.2098129993048863	7.452841011273417	107.25602168408793	-4.317768197827087	429077.040651754	10462.468256502925	213.5514537858994	10.059533875309297	4.873033672585356	29.831203687646425	25.40021140477551	-21.04268710255976	179.84722845929196
Malawi	2.121518246565925	-91365.68349890126	-9.133254597379624	7.595604100354342	214.45888948076674	22.20755805541376	10.652997448088787	-43.11797676963007	-2.8677998825977977	5.520841063033265	214.43665707371477	-3.8896160137457656	1286795.1447493485	254.14510405849313	50.01199873730796	11.958239885908776	5.018055463139983	70.6434482650248	80.79214399500724	-8.919747760856435	41.46917531753376
Malaysia	4.604197978423509	-70239.58739014315	-7.021455866584066	4.409731862695675	54.39352252594837	93.6889936427917	37.60167052553334	-12.219649979704526	-2.7656819781604196	2.1904147873169753	29.006511492403476	-3.8975865096615157	62.15657306854708	130.8604614056076	28.522239377025862	15.303672707328106	3.6574946682917613	11.95561786933876	55.95342049021098	-16.98215674916083	-416.3500197438633
Maldives																					
Mali	1.9970707793236802	-46145.56526867969	-4.613895227809494	10.987201282184367	261.5591028682212	53.58806376101772	18.44669449239748	-10.14892908671835	-3.270146327045684	5.003708973789396	261.53278112787035	-4.380397486778626	1046287.3645894916	970.7976708222018	92.07359782860493	7.748890271616657	6.374303558767607	123.08517738090947	37.95296616006781	-9.395983058102336	36.88545585295641
Malta																					
Marshall Islands																					
Mauritania																					
Mauritius	2.69978998132866	-66979.67045718059	-6.695934994123517	4.852372007155791	60.50545880276646	74.62575206534062	28.94589054471807	-10.293690669466248	-3.3668346882692326	2.472573625777802	29.03982318248988	-4.41253257692268	55.844310409701485	84.6891592534113	22.30946580380764	8.863833999287225	4.73861620307562	13.540484386690977	28.86657492783452	-7.249260209522546	-172.66422064774446
Mexico	2.642226781328062	-52083.1276495789	-5.207070355928146	5.3261894243111945	18.582913059104666	122.33290461995193	36.67306431152493	-11.600177717880008	-3.489372616178134	2.6699729821658154	10.134994936855103	-4.694233430916119	22.296572912685512	1099.5100475252332	129.92784473164807	20.65404159435743	4.457329474019182	4.720503513758813	11.66613977275693	-13.043499314107377	-27.162904377713716
Micronesia, Fed. Sts.																					
Middle East & North Africa (all income levels)																					
Middle East & North Africa (developing only)																					
Middle income																					
Moldova	2.6271480521186605	-64597.34439042376	-6.457508452682228	6.012190096271475	42.56731522265972	68.82585396699776	27.499428715965774	-13.156617233925843	-5.843613195502467	3.1133509442022427	26.19206669471524	-7.422013743026529	68.08352634667239	2981.417205206811	244.42473237243024	16.90234717048078	6.386171500111803	3.9031316266159526	7.437369015634537	-14.61762440730182	-20.604245776760635
Monaco																					
Mongolia	3.4320088122032084	-75096.5084545196	-7.506417862765603	5.298525262706566	24.506118776537186	64.92038901217612	20.33738685155418	-15.121801478386717	-4.064510574736637	2.813055837826342	17.296371392713954	-5.244412473612824	58.79823444086525	210.77578307170387	31.450396201561265	13.674102834253198	10.518122693447054	5.733470949470719	16.690572164162383	-13.354210003319963	-59.57974612830239
Montenegro																					
Morocco																					
Mozambique	1.7930017846598691	-48976.01132987785	-4.8968204567756715	12.69980952298999	28.5319841572702	34.29349786022461	11.982376019290946	-136.8590592831186	-3.329996310224014	11.277813065327942	20.138283934269506	-4.19938664078518	68.45764185024488	140.72804798287166	22.40090868105672	16.945735632297616	4.4694762629299145	8.462441442079664	22.579901120412277	-10.385444313085646	-101.73518733311616
Myanmar																					
Namibia																					
Nepal	1.7052594411973432	-77875.63120825119	-7.784952029160226	18.794024550520245	35.78574900676403	18.154296539347527	12.955201993657003	-13.741829705850034	-3.4475890914442697	6.121641047613421	35.78081123036875	-4.556326810227069	214720.64819344284	164.36147523415914	56.68665622166631	8.253944350527469	6.537992134645394	10.52279901044116	7.259154076486847	-31.322342280850297	-27.05520267821519
Netherlands	5.295085151014673	-55867.41764288208	-5.584826134615864	5.594993208210812	inf	172.00526714215755	80.17635972242523	-100.26283232932666	-4.531893017427881	2.848328462389699	147197.2077812596	-5.90821305309946	inf	76.18090395248792	23.776774519980012	10.70376886258326	44515.70480517947	5.6481809838130514	17.282658570427365	-10.438291895539525	-100.66232381991603
New Caledonia																					
New Zealand																					
Nicaragua																					
Niger	1.875689407903243	-102695.61949636677	-10.265495425607677	17.975005419714744	186.97276535667052	23.28032506530186	10.365423055549432	-9.926662417497386	-3.7444648368426123	3.7982948152129556	186.95078875528768	-4.915155350020238	1121872.845905867	5298.347477115438	281.1447102019656	6.99936427482842	7.117197489226021	67.73018735267891	54.26583361045643	-12.908334294302737	33.68139786885503
Nigeria	2.8419036215955114	-33383.35752614575	-3.3379681416871536	15.35269806698858	653.3849522492375	28.985355738365545	12.740614014540109	-11.348815252297591	-2.6570781420980008	4.711947778623281	435.5462376617263	-3.658295464062139	1306.4756290215887	130.00041649476583	19.728020588842966	11.013506929210351	4.265484971358049	321.99276269940225	244.77290057574103	-12.461147716587215	40.98239148306864
North America																					
Northern Mariana Islands																					
Norway																					
OECD members																					
Oman																					
Other small states																					
Pacific island small states																					
Pakistan	1.6758188311196234	-69590.96429453309	-6.957415027640843	11.181595845940523	59.19669579713196	32.078923604344865	24.777616539056428	-8.857791779173484	-3.9701285025747746	4.491562547029587	46.19633872887226	-5.31143044773999	210.3883896935012	2403.598604082761	306.54245867280866	6.515392049497137	6.652912438191712	33.56057930293834	16.477557317495737	-13.428663783026684	269.04825018283293
Palau																					
Panama	3.923267722581846	-36747.78666488168	-3.674183669786105	6.242337825452524	36.56187030981134	123.74883129299477	53.022482154550204	-22.2760280074768	-2.4666683997376313	3.0152220818594997	20.8900196309591	-3.6177926803186313	48.742090134884286	272.40490944521963	115.22910400019772	20.267876887598607	5.972956829633299	10.166648959035015	18.886733528054254	-16.842529288145315	-91.56899925998528
Papua New Guinea																					
Paraguay	1.9189183633960925	-59928.57359420185	-5.991402006450009	6.351939229840815	30.79959035677984	69.233269823388	25.91447907828395	-9.754871977183669	-3.645608707756621	3.2467018252419004	17.88108259927591	-4.698324053365951	42.63696026897333	1784.479184368768	45.83030996109674	30.757150708072363	4.538014923587415	4.441544466693298	12.681428984518927	-12.505177237588969	-29.153804712045787
Peru	2.400258175709181	-72790.38924040555	-7.276615960841755	5.363498070399148	35.32159028681937	78.95878394591017	23.438895398810907	-13.017610919536677	-2.8899851253133795	3.146878740830159	19.264027299230577	-3.9133606307796818	42.38046482472637	655.8126666192641	60.366330783660636	18.30843300881126	6.702257496118467	8.985825848051938	21.763246534805933	-14.903999506656389	-279.61933660305374
Philippines	2.2103039485043046	-71183.21930201518	-7.115987021915048	9.280866304974676	30.172266477126158	19.956080252438777	12.945947304316046	-12.885191133187627	-2.8034497592187404	4.421218698559301	17.447133076375255	-3.8196999680072588	41.37287184842953	380.9575898632107	31.190072637265175	11.27071421320021	6.5946831911726145	12.183163718646588	11.134378640500445	-11.797023711785897	-52.92789092500341
Poland	2.591487329601723	-45263.603187814595	-4.525407127922345	9.858999240196026	15.980056840374466	206.55936330240348	69.74421495599242	-43.186000891141674	-6.727924352695264	4.997924587024557	8.427872739718564	-8.549722016961379	17.836066537264507	571.8374224067455	78.76229345613429	40.308763821898864	3.2426606865740912	3.1582363785468925	5.459351609614847	-11.837818211008146	-15.160722351010454
Portugal																					
Puerto Rico																					
Qatar																					
Romania	2.4755484782114947	-62971.29580269094	-6.295051955342791	7.031841382543601	14.324249010243202	196.54718181662443	59.16570326019734	-31.80116082076658	-7.380211636857382	3.682279028388466	8.487491149234215	-9.374630018256129	20.831867288779502	951.0914809796648	150.35533688180067	28.13599560130265	4.494803874808503	3.6744585844513757	5.935935522762642	-11.860076593694819	-15.749255126634184
Russian Federation																					
Rwanda	2.6198018384950155	-38118.28976778988	-3.8113344465978405	8.989217069097165	169.0825093593116	39.67281567600202	17.93509914185408	-29.41676811035527	-2.837341858889778	8.710615200922776	109.66218956280578	-3.8952691946061826	312.06640641939345	90.52838896234644	37.40587616323188	12.261242052531772	4.3689611741512655	35.171286011100065	87.10704953290163	-129.19883191663004	59.58195693747883
Samoa																					
San Marino																					
Sao Tome and Principe																					
Saudi Arabia																					
Senegal	1.4970835416963564	-103582.1321429008	-10.353978130174427	8.885571569017845	22.428791237969012	37.71803271060626	20.371496908147236	-16.941861063739626	-2.8577772270819675	4.713049385768131	15.601241319200048	-3.8226874556019395	51.252154943837155	809.6731549315041	114.82679725207697	11.676157776633907	4.804753800126045	13.513854107566173	8.161176787890176	-7.019986293628635	-29.412735512614194
Serbia																					
Seychelles																					
Sierra Leone																					
Singapore																					
Sint Maarten (Dutch part)																					
