country,H,T_rebuild_K,T_rebuild_L,alpha,avg_prod_k,axfin_p,axfin_r,axhealth,bashs,borrow_abi,cp,cr,dC_destitution,dKpc,dKtot,dW_destitution,dW_no_transfers,dW_noupscale,dWsurWprime,delta_W,destitution_exposure,equivalent_cost,fa,fap,far,faref,finance_pre,gdp_pc_pp,income_elast,individual_exposure,institutional_exposure,iso3,macro_multiplier,ophe,original_country,pe,peref,pi,plgp,pop,pov_head,prepare_scaleup,protection,protectionref,pv,rating,resilience,resilience_no_shock,resilience_no_shock_no_SP,resilience_no_shock_no_uspcale,risk,risk_to_assets,rp,share1,share1_ref,shew,sigma_p,sigma_r,social_p,social_r,tot_p,tot_r,total_equivalent_cost,total_equivalent_cost_no_destitution,total_equivalent_cost_of_destitution,unemp,v,v_p,v_r,v_s,v_shew
Bolivia,0.53565,3.00000,40.00000,1.00000,0.42183,0.08907,0.22580,0.82113,0.84040,0.40833,985.10840,7171.70787,47515.66059,20.74872,221413730.26265,0.00000,0.00000,0.00000,41.74152,0.00000,0.00013,43.08421,0.04346,0.03998,0.04433,0.04649,0.40000,5934.38798,1.50000,0.00164,0.07919,BOL,1.35461,0.19813,Bolivia,-0.08000,-0.08000,0.20000,0.96731,10671200.00000,0.20000,0.53333,6.70000,6.70000,1.47893,0.41667,0.48159,0.49708,0.38944,0.45927,0.00726,0.00350,42.16294,0.03320,0.03320,0.60000,0.23542,0.23542,0.34721,0.22687,0.50089,0.40888,459760230.62388,445432061.11988,14328169.50400,0.02600,0.25414,0.55440,0.21340,0.24250,0.22364
Bosnia and Herzegovina,0.53565,3.00000,40.00000,1.00000,0.32393,0.03456,0.07855,0.85432,0.99900,0.13750,3506.17524,10857.64373,75162.95524,76.44569,292733999.51948,0.00000,0.00000,0.00000,128.15219,0.00000,0.00218,140.86389,0.13255,0.15481,0.12698,0.13678,0.00000,9387.35003,1.50000,0.01087,0.20065,BIH,1.26124,0.29036,Bosnia and Herzegovina,0.16797,0.16797,0.20000,0.82772,3829307.00000,0.20000,0.00000,18.78000,18.78000,0.64124,0.27500,0.54269,0.59652,0.55280,0.59130,0.01501,0.00814,99.63561,0.07470,0.07470,0.00000,0.03438,0.03438,0.21952,0.12546,0.24635,0.15552,539411062.40638,490734088.84935,48676973.55703,0.28400,0.38386,0.63000,0.35963,0.35963,0.38386
Botswana,0.53565,3.00000,40.00000,1.00000,0.28118,0.08854,0.21645,0.94583,0.94600,0.86250,2165.01845,18517.00638,122077.06869,42.34809,85591591.97852,0.00000,0.00000,0.00000,74.00612,0.00000,0.00023,76.43612,0.03028,0.03536,0.02901,0.03495,1.00000,15246.60880,1.50000,0.00222,0.10282,BWA,1.22047,0.05434,Botswana,0.16797,0.16797,0.20000,0.92972,2021144.00000,0.20000,0.73333,16.67000,16.67000,0.12988,0.72500,0.55403,0.57222,0.52295,0.54093,0.00501,0.00278,90.40376,0.02840,0.02840,1.00000,0.39896,0.39896,0.23279,0.04378,0.53887,0.42527,154488405.66945,149577021.39787,4911384.27158,0.18400,0.55758,0.50400,0.44400,0.55500,0.44606
Brazil,0.53565,3.00000,40.00000,1.00000,0.26558,0.06362,0.12968,0.84059,0.98080,0.59167,2467.08643,17577.08114,116540.12984,63.84727,12792561941.74356,0.00000,0.00000,0.00000,105.95763,0.00000,0.00052,109.93714,0.04890,0.05711,0.04685,0.04966,0.60000,14555.08220,1.50000,0.00379,0.13739,BRA,1.20559,0.29961,Brazil,0.16797,0.16797,0.20000,0.80625,200361925.00000,0.20000,0.86667,22.17000,22.17000,0.10514,0.58333,0.58076,0.60257,0.54605,0.57315,0.00755,0.00439,114.04474,0.03390,0.03390,0.20000,0.36458,0.36458,0.22567,0.20561,0.50798,0.49523,22027217973.17432,21229875557.85031,797342415.32401,0.05900,0.57006,0.60480,0.54480,0.56750,0.54726
Bulgaria,0.53565,3.00000,40.00000,1.00000,0.32308,0.01463,0.07025,0.79933,0.99500,0.67500,5030.25320,18361.20894,125667.40518,22.07039,160343912.74136,0.00000,0.00000,0.00000,32.49607,0.00000,0.00005,32.82414,0.04014,0.04688,0.03845,0.04066,0.80000,15695.01779,1.50000,0.00042,0.12009,BGR,1.26043,0.39633,Bulgaria,0.16797,0.16797,0.20000,0.96939,7265115.00000,0.20000,0.66667,28.32000,28.32000,0.60385,0.55000,0.67238,0.67917,0.54149,0.65603,0.00209,0.00141,138.96412,0.06410,0.06410,0.80000,0.33542,0.33542,0.66309,0.40446,0.77610,0.60422,238471178.25962,236087718.55024,2383459.70937,0.12900,0.39281,0.52920,0.31332,0.37300,0.32996
Burkina Faso,0.53565,3.00000,40.00000,1.00000,0.40567,0.03739,0.10710,0.66333,0.65900,0.52500,547.82935,1901.09828,13054.69875,9.42302,159577273.51035,0.00000,0.00000,0.00000,12.66072,0.00000,0.00006,13.30421,0.00803,0.00562,0.00864,0.01120,0.80000,1630.44450,1.50000,0.00029,0.22564,BFA,1.33919,0.33234,Burkina Faso,-0.30000,-0.30000,0.20000,0.69074,16934839.00000,0.20000,0.80000,1.90000,1.90000,0.04974,0.25000,0.70827,0.74427,0.69814,0.73140,0.00816,0.00578,14.16432,0.06720,0.06720,0.60000,0.33125,0.33125,0.49468,0.32352,0.66206,0.54760,225304680.52917,214407244.48174,10897436.04743,0.03100,0.60015,0.55440,0.52690,0.59875,0.52813
Cambodia,0.53565,3.00000,40.00000,1.00000,0.45929,0.00218,0.01208,0.57130,0.74000,0.15000,1323.11434,3348.62725,23568.31397,34.52838,522592848.65468,0.00000,0.00000,0.00000,61.15148,0.00000,0.00165,71.84582,0.11257,0.08443,0.11960,0.15980,0.00000,2943.52467,1.50000,0.00627,0.26313,KHM,1.39033,0.59740,Cambodia,-0.25000,-0.25000,0.20000,0.64230,15135169.00000,0.20000,0.00000,5.29000,5.29000,1.57392,0.30000,0.48059,0.56464,0.55187,0.55701,0.02441,0.01173,34.48510,0.08990,0.08990,0.00000,0.03750,0.03750,0.02479,0.02824,0.06136,0.06468,1087398609.87245,925538023.11577,161860586.75668,0.00300,0.24476,0.63000,0.21790,0.21790,0.24476
Cameroon,0.53565,3.00000,40.00000,1.00000,0.41974,0.09631,0.10153,0.51058,0.63600,0.15000,869.74170,3206.74451,21933.47277,5.05282,112445244.34176,0.00000,0.00000,0.00000,14.42863,0.00000,0.00045,16.58684,0.03281,0.04528,0.02969,0.03702,0.00000,2739.34394,1.50000,0.00164,0.27729,CMR,1.35261,0.61484,Cameroon,0.38000,0.38000,0.20000,0.69755,22253959.00000,0.20000,0.00000,6.73000,6.73000,2.26807,0.30000,0.30463,0.35019,0.30903,0.34224,0.00606,0.00184,42.32173,0.06350,0.06350,0.00000,0.03750,0.03750,0.14992,0.02986,0.18180,0.06624,369122961.09152,321094062.19357,48028898.89795,0.04000,0.16982,0.55500,0.13000,0.13000,0.16982
Canada,0.53565,3.00000,40.00000,1.00000,0.33548,0.36890,0.64163,0.92439,1.00000,0.80000,14874.10324,48655.07714,335477.40403,6.37796,224212734.05739,0.00000,0.00000,0.00000,9.16395,0.00000,0.00000,9.16896,0.03790,0.04427,0.03631,0.03686,0.60000,41898.88236,1.50000,0.00002,0.04941,CAN,1.27226,0.15122,Canada,0.16797,0.16797,0.20000,0.99838,35154279.00000,0.20000,0.86667,84.08000,84.08000,0.83954,1.00000,0.69560,0.69598,0.54238,0.65873,0.00022,0.00015,325.86868,0.07100,0.07100,0.80000,0.41667,0.41667,0.63100,0.14000,0.78475,0.49833,322328158.94714,322151882.32035,176276.62678,0.07100,0.13862,0.21420,0.10733,0.12778,0.11644
Colombia,0.53565,3.00000,40.00000,1.00000,0.27978,0.02795,0.13651,0.92563,0.99050,0.70000,1984.18859,14535.68457,96285.26681,12.24582,591735417.22187,0.00000,0.00000,0.00000,45.88616,0.00000,0.00033,48.24227,0.03212,0.07034,0.02256,0.03420,0.80000,12025.38537,1.50000,0.00299,0.11075,COL,1.21913,0.13925,Colombia,1.19000,1.19000,0.20000,0.84712,48321405.00000,0.20000,0.73333,19.71000,19.71000,1.27484,0.60000,0.25384,0.26687,0.19603,0.21253,0.00401,0.00102,103.63965,0.03300,0.03300,0.80000,0.35833,0.35833,0.12269,0.08733,0.43706,0.41437,2331134492.72424,2217283708.86909,113850783.85515,0.10500,0.27694,0.52920,0.20108,0.23938,0.23263
"Congo, Dem. Rep.",0.53565,3.00000,40.00000,1.00000,0.23706,0.00871,0.01916,0.73698,0.80100,0.12500,214.22141,925.51872,6271.42698,22.82434,1540954844.35830,0.00000,0.00002,0.00002,34.14621,0.00002,0.00086,38.00639,0.02713,0.02469,0.02774,0.03633,0.00000,783.25925,1.50000,0.00407,0.21192,COD,1.17839,0.32705,"Congo, Dem. Rep.",-0.09000,-0.09000,0.20000,0.70725,67513677.00000,0.20000,0.00000,2.04000,2.04000,0.23258,0.25000,0.60054,0.66843,0.65906,0.66283,0.04852,0.02914,15.06552,0.05470,0.05470,0.00000,0.03125,0.03125,0.01298,0.03018,0.04383,0.06048,2565951024.46596,2305336244.97885,260614779.48711,0.08000,0.51112,0.63000,0.50500,0.50500,0.51112
"Congo, Rep.",0.53565,3.00000,40.00000,1.00000,0.37275,0.01771,0.08744,0.85424,0.92500,0.17500,1593.30451,6701.96135,45480.65966,21.96295,97683130.81714,0.00000,0.00000,0.00000,57.95963,0.00000,0.00025,62.85626,0.03212,0.03751,0.03077,0.03485,0.00000,5680.22998,1.50000,0.00150,0.16928,COG,1.30780,0.21653,"Congo, Rep.",0.16797,0.16797,0.20000,0.70291,4447632.00000,0.20000,0.00000,3.43000,3.43000,2.49683,0.35000,0.34942,0.37894,0.32914,0.36937,0.01107,0.00387,23.62752,0.05610,0.05610,0.00000,0.04375,0.04375,0.17197,0.15214,0.20820,0.18924,279561494.13841,257783123.19716,21778370.94125,0.06500,0.15871,0.55500,0.13000,0.13000,0.15871
Costa Rica,0.53565,3.00000,40.00000,1.00000,0.48190,0.07918,0.27923,0.87877,0.99100,0.74167,2827.17145,16081.63615,107537.73398,4.15861,20261461.11676,0.00000,0.00000,0.00000,8.95326,0.00000,0.00002,9.15710,0.01833,0.02140,0.01756,0.02003,1.00000,13430.74321,1.50000,0.00021,0.10668,CRI,1.41189,0.23345,Costa Rica,0.16797,0.16797,0.20000,0.87720,4872166.00000,0.20000,0.93333,17.02000,17.02000,2.51646,0.48333,0.45414,0.46448,0.27279,0.38112,0.00068,0.00031,91.95005,0.04210,0.04210,1.00000,0.41875,0.41875,0.46967,0.20281,0.69174,0.53663,44614898.01162,43621760.62804,993137.38357,0.07600,0.17916,0.50400,0.12400,0.15500,0.14333
Croatia,0.53565,3.00000,40.00000,1.00000,0.23052,0.07799,0.15243,0.93769,1.00000,0.63333,8029.61936,23053.82911,160528.91597,17.67741,75229773.90337,0.00000,0.00000,0.00000,23.51582,0.00000,0.00013,23.68188,0.11574,0.13518,0.11088,0.10141,0.80000,20048.98716,1.50000,0.00157,0.08164,HRV,1.17216,0.12463,Croatia,0.16797,0.16797,0.20000,0.99440,4255700.00000,0.20000,0.80000,179.79000,179.79000,0.63391,0.46667,0.74645,0.75172,0.60304,0.71249,0.00118,0.00088,574.62066,0.08010,0.08010,0.80000,0.35833,0.35833,0.54942,0.27049,0.71088,0.53190,100782974.48219,100076262.38151,706712.10069,0.17700,0.38558,0.52920,0.30209,0.35963,0.32388
Czech Republic,0.53565,3.00000,40.00000,1.00000,0.23980,0.26152,0.41788,0.92096,0.99900,0.90833,13120.06268,31875.56493,225187.92393,28.93061,304184264.73402,0.00000,0.00000,0.00000,37.95781,0.00000,0.00003,38.07440,0.07016,0.08195,0.06722,0.06908,1.00000,28124.46448,1.50000,0.00060,0.05184,CZE,1.18101,0.15708,Czech Republic,0.16797,0.16797,0.20000,0.99251,10514272.00000,0.20000,0.53333,86.78000,86.78000,0.61498,0.81667,0.75984,0.76218,0.63106,0.71711,0.00135,0.00103,333.63306,0.09330,0.09330,1.00000,0.36042,0.36042,0.40580,0.45012,0.61996,0.64830,400324592.79799,399098708.70223,1225884.09575,0.06900,0.39010,0.50400,0.28800,0.36000,0.31208
