country,5.0,10.0,25.0,50.0,100.0,250.0,500.0,1000.0
Afghanistan,0.8422612251692271,0.8816430483237293,0.9458812154299241,0.9714314457432183,1.0,1.039175049923086,1.0596745016736502,1.0803019808530137
Albania,0.601996230001595,0.8324156142036399,0.9685947919189238,0.9839836100309152,1.0,1.0138136208814668,1.023483718651886,1.046829602772619
Algeria,0.8284450301388724,0.863824370849918,0.9311585879859359,0.9699452601653155,1.0,1.0370773429143718,1.0521282652584028,1.0727984945301041
Andorra,0.5076337586495889,0.5225206263680754,0.9899838641451143,1.0,1.0,1.0455884829095807,1.0455884829095807,1.0455884829095807
Angola,0.8702129683765629,0.8896423567075583,0.9368545562236105,0.9657936714646035,1.0,1.0574641153136033,1.098088368813512,1.1151027047842184
Argentina,0.8118373248983923,0.8566168661884117,0.9130534585448435,0.9553611970794738,1.0,1.0617808118591423,1.1049785343147729,1.130319539847674
Armenia,0.4289078304499698,0.7758849560632511,0.9557023013113881,0.9608494886740325,1.0,1.0969053965486566,1.267986417669341,1.271305526916317
Australia,0.8630682787197888,0.8918553282238175,0.9313850385731488,0.9649954389542168,1.0,1.0509110455368131,1.0765198937535523,1.0959515432880265
Austria,0.5447646772079906,0.8079730262036334,0.8729685020728156,0.9461935020629519,1.0,1.0591070059440626,1.0931362812401189,1.1049909763699648
Azerbaijan,0.5496927652698564,0.686353503648288,0.8388089616105481,0.9032347007653275,1.0,1.0480557781678745,1.0997014763645392,1.1321009732550837
Bangladesh,0.7044623401731855,0.7579890540036857,0.8432247525781409,0.9202010930856551,1.0,1.09415824890842,1.1684093668211826,1.2102661658281846
Belarus,0.8567281590874459,0.8981467482166742,0.9396026504479024,0.9713223989089594,1.0,1.036334245741123,1.0593885033257426,1.0830316772958957
Belgium,0.7263525938138102,0.8413221783145183,0.9341214194792803,0.964190575704798,1.0,1.0722066561593224,1.1085241949613494,1.1376007593286774
Belize,0.8658117914917195,0.899445464104175,0.9748982969970731,0.9824173651073332,1.0,1.1043282709223716,1.1116548728281153,1.1423757305973867
Benin,0.6610777575183462,0.7365026251228541,0.8516060170219606,0.9364463927489496,1.0,1.108931557191536,1.1447452610991324,1.2062331329790925
Bhutan,0.9222023271624237,0.9823007060739105,1.0,1.0,1.0,1.0,1.0,1.0426315798490795
Bolivia,0.8929273725535749,0.9161334573311766,0.9520017869166297,0.9769223253126549,1.0,1.0314421616685971,1.0472373704173246,1.0631857755879517
Bosnia and Herzegovina,0.6287363593256439,0.8343075932307886,0.9540686672859547,0.9844146924868701,1.0,1.0300670679755028,1.0461887336951208,1.057863095664124
Botswana,0.6199223182298143,0.7287626809339137,0.797973841919005,0.8930593863429638,1.0,1.0948497803176656,1.119098334006068,1.1904627774167706
Brazil,0.92613016122765,0.9434420500893027,0.9668738058805612,0.9834852916404724,1.0,1.0224117401141906,1.0345435638764229,1.0458339538301014
Brunei Darussalam,0.9418464536285818,0.9582851897481891,0.9753862921317293,0.986772118721852,1.0,1.0062674755839836,1.0093034287152467,1.0225416606410693
Bulgaria,0.640291190877843,0.804701455768429,0.928289177166111,0.966641089932526,1.0,1.0933105853826708,1.131615372764341,1.1610483447956979
Burkina Faso,0.706414431367474,0.8142857717554948,0.8983694440807205,0.9529452354216607,1.0,1.0621655909086187,1.116399963638692,1.166866744811555
Burundi,0.572405826898372,0.6673882527019087,0.9911792638428767,0.9914945297845845,1.0,1.0921462571825469,1.1293247155340322,1.147100513773853
Cambodia,0.5655178603616531,0.6562362315924105,0.8096000674340681,0.9260752042561591,1.0,1.1237317442485828,1.2859156542570136,1.3638230743421822
Cameroon,0.7653089589591554,0.853306041245325,0.9412679562258253,0.9729840448892308,1.0,1.0406836642653359,1.0822792048590806,1.121389415270122
Canada,0.852574172664636,0.8845897471627737,0.9330065518748032,0.9645919008860002,1.0,1.0473687022839129,1.080720934012499,1.0957845740840175
Central African Republic,0.7910407856145737,0.8149059860404246,0.8538280927808143,0.8901316632787518,1.0,1.1153905451559956,1.1414936064206016,1.150843130961075
Chad,0.7160462395287543,0.7707088366855733,0.8631372903280881,0.9264315804602332,1.0,1.1192670074340654,1.2202487764314611,1.3097794018750546
Chile,0.7358933022018708,0.8100370430184883,0.8718541031933545,0.9439130752746171,1.0,1.0801687380460958,1.109377313099288,1.1130740177204412
China,0.8989184472180101,0.921433712420252,0.9529101683538441,0.9765143594754814,1.0,1.031239549803286,1.0474525021175516,1.0660381274561
Colombia,0.7264358641005252,0.8188636952071615,0.8960127633966085,0.9479835798227617,1.0,1.031980216765939,1.0648693739591848,1.1341335887976478
"Congo, Dem. Rep.",0.7283701745564803,0.7921506845922894,0.8887671986053297,0.9563735891287402,1.0,1.082320828539966,1.1369586615843486,1.1720668056928267
"Congo, Rep.",0.9048726594580588,0.9272198085438399,0.9486067933103172,0.9770886334233699,1.0,1.029572229305973,1.0383011223312173,1.0585487918440075
Costa Rica,0.7639352569822456,0.8190945675692799,0.8645633029012315,0.9614233462883244,1.0,1.0233292590614116,1.0437222846212726,1.062013176960574
Cote d'Ivoire,0.7855213460426961,0.8224277714515954,0.912361611231912,0.9591022287196884,1.0,1.0493652886143874,1.0890479923048286,1.1093945676123742
Croatia,0.7129612635295584,0.8251694189682419,0.9371706717892552,0.9801595435807391,1.0,1.1333521208644086,1.1663546068589996,1.2018640126770466
Cuba,0.6992771259559201,0.8237117261690727,0.9237741079242942,0.9602235170250273,1.0,1.032462967428216,1.0673892571575034,1.0924228837281758
