fpu_id,fpu_population,fpu_area,region_id,large_id,5,10,25,50,100,250,500,1000,country_iso,country_gridcode,country_area
2,0,53,4,0,0,0,0,0,0,0,0,0,GRL,90,662.8625488
3,11790,73,5,0,362,442,546,578,612,660,679,689,RUS,186,2923.966309
4,81581,201,5,0,3322,4473,5040,5466,5709,6051,6221,6462,RUS,186,2923.966309
5,156415,157,3,0,3884,4159,5196,5655,5997,6041,6112,6786,CAN,41,1698.30957
6,1919,52,4,0,3,163,163,163,163,163,206,206,CAN,41,1698.30957
7,2406330,151,5,0,121753,157039,165863,184226,195889,209991,215370,237840,RUS,186,2923.966309
8,5599568,15,5,0,143590,169108,178281,185223,192910,197078,203235,208427,UKR,237,74.04089355
8,5599568,15,5,0,143590,169108,178281,185223,192910,197078,203235,208427,RUS,186,2923.966309
8,5599568,15,5,0,143590,169108,178281,185223,192910,197078,203235,208427,BLR,21,28.04115486
9,147868,10,3,0,2271,5155,5688,5689,5695,5697,5698,5700,CAN,41,1698.30957
10,6943518,8,5,0,419405,459851,488072,503642,518840,541403,577549,587475,UKR,237,74.04089355
10,6943518,8,5,0,419405,459851,488072,503642,518840,541403,577549,587475,RUS,186,2923.966309
11,12015756,10,13,0,570776,908269,1032121,1087162,1102035,1126211,1146541,1167372,CHE,221,4.91376543
11,12015756,10,13,0,570776,908269,1032121,1087162,1102035,1126211,1146541,1167372,DEU,86,45.88312531
11,12015756,10,13,0,570776,908269,1032121,1087162,1102035,1126211,1146541,1167372,AUT,15,10.02252388
11,12015756,10,13,0,570776,908269,1032121,1087162,1102035,1126211,1146541,1167372,ITA,112,33.12876129
11,12015756,10,13,0,570776,908269,1032121,1087162,1102035,1126211,1146541,1167372,CZE,61,9.812907219
12,23521008,51,5,0,741044,889183,1012173,1060737,1111141,1173923,1218637,1256272,UKR,237,74.04089355
12,23521008,51,5,0,741044,889183,1012173,1060737,1111141,1173923,1218637,1256272,RUS,186,2923.966309
12,23521008,51,5,0,741044,889183,1012173,1060737,1111141,1173923,1218637,1256272,BLR,21,28.04115486
13,9029655,10,13,0,336988,632956,678619,757462,796814,862533,900558,919885,SVN,206,2.324616194
13,9029655,10,13,0,336988,632956,678619,757462,796814,862533,900558,919885,CZE,61,9.812907219
13,9029655,10,13,0,336988,632956,678619,757462,796814,862533,900558,919885,SVK,205,5.997974873
13,9029655,10,13,0,336988,632956,678619,757462,796814,862533,900558,919885,AUT,15,10.02252388
13,9029655,10,13,0,336988,632956,678619,757462,796814,862533,900558,919885,HUN,103,11.02449512
13,9029655,10,13,0,336988,632956,678619,757462,796814,862533,900558,919885,ITA,112,33.12876129
14,12497586,47,5,0,580419,665649,724646,755495,790262,827815,855098,887992,UKR,237,74.04089355
14,12497586,47,5,0,580419,665649,724646,755495,790262,827815,855098,887992,RUS,186,2923.966309
15,17662808,26,13,0,1265255,1757708,1959040,1960514,2007212,2189831,2268061,2311437,BIH,29,5.748532772
15,17662808,26,13,0,1265255,1757708,1959040,1960514,2007212,2189831,2268061,2311437,ITA,112,33.12876129
15,17662808,26,13,0,1265255,1757708,1959040,1960514,2007212,2189831,2268061,2311437,AUT,15,10.02252388
15,17662808,26,13,0,1265255,1757708,1959040,1960514,2007212,2189831,2268061,2311437,ALB,3,3.08335495
15,17662808,26,13,0,1265255,1757708,1959040,1960514,2007212,2189831,2268061,2311437,KO-,120,1.196295977
15,17662808,26,13,0,1265255,1757708,1959040,1960514,2007212,2189831,2268061,2311437,HRV,57,6.516824722
15,17662808,26,13,0,1265255,1757708,1959040,1960514,2007212,2189831,2268061,2311437,BGR,36,12.34345627
15,17662808,26,13,0,1265255,1757708,1959040,1960514,2007212,2189831,2268061,2311437,MNE,150,1.466593385
15,17662808,26,13,0,1265255,1757708,1959040,1960514,2007212,2189831,2268061,2311437,ROU,185,27.50868607
15,17662808,26,13,0,1265255,1757708,1959040,1960514,2007212,2189831,2268061,2311437,SVN,206,2.324616194
15,17662808,26,13,0,1265255,1757708,1959040,1960514,2007212,2189831,2268061,2311437,SRB,200,8.777659416
15,17662808,26,13,0,1265255,1757708,1959040,1960514,2007212,2189831,2268061,2311437,HUN,103,11.02449512
16,44637139,56,5,0,1944694,2915178,3569170,3750425,3879776,4206428,4321189,4403916,AUT,15,10.02252388
16,44637139,56,5,0,1944694,2915178,3569170,3750425,3879776,4206428,4321189,4403916,HUN,103,11.02449512
16,44637139,56,5,0,1944694,2915178,3569170,3750425,3879776,4206428,4321189,4403916,MDA,147,4.014426231
16,44637139,56,5,0,1944694,2915178,3569170,3750425,3879776,4206428,4321189,4403916,SVN,206,2.324616194
16,44637139,56,5,0,1944694,2915178,3569170,3750425,3879776,4206428,4321189,4403916,SVK,205,5.997974873
16,44637139,56,5,0,1944694,2915178,3569170,3750425,3879776,4206428,4321189,4403916,POL,179,40.97161484
16,44637139,56,5,0,1944694,2915178,3569170,3750425,3879776,4206428,4321189,4403916,UKR,237,74.04089355
16,44637139,56,5,0,1944694,2915178,3569170,3750425,3879776,4206428,4321189,4403916,HRV,57,6.516824722
16,44637139,56,5,0,1944694,2915178,3569170,3750425,3879776,4206428,4321189,4403916,CZE,61,9.812907219
16,44637139,56,5,0,1944694,2915178,3569170,3750425,3879776,4206428,4321189,4403916,BGR,36,12.34345627
16,44637139,56,5,0,1944694,2915178,3569170,3750425,3879776,4206428,4321189,4403916,ROU,185,27.50868607
16,44637139,56,5,0,1944694,2915178,3569170,3750425,3879776,4206428,4321189,4403916,SRB,200,8.777659416
17,7744855,70,3,0,315071,435015,519884,535775,561703,595049,619991,630894,CAN,41,1698.30957
18,31686619,85,3,0,690063,795871,986181,1030171,1079227,1140196,1186355,1228541,CAN,41,1698.30957
19,17199275,36,3,0,461569,606022,641762,745133,774764,804408,837765,863071,USA,240,1119.190918
20,10861459,110,12,0,203344,336466,561438,699552,761139,841890,896051,908195,KAZ,117,330.5509949
20,10861459,110,12,0,203344,336466,561438,699552,761139,841890,896051,908195,AFG,1,62.74906158
20,10861459,110,12,0,203344,336466,561438,699552,761139,841890,896051,908195,TJK,224,14.67222214
20,10861459,110,12,0,203344,336466,561438,699552,761139,841890,896051,908195,CHN,48,951.796814
20,10861459,110,12,0,203344,336466,561438,699552,761139,841890,896051,908195,PAK,170,81.84159851
20,10861459,110,12,0,203344,336466,561438,699552,761139,841890,896051,908195,IND,105,278.6976013
20,10861459,110,12,0,203344,336466,561438,699552,761139,841890,896051,908195,KGZ,122,21.50457191
21,170948180,92,12,0,9002007,11152081,13004900,14125870,14806516,15972768,16618233,17194086,CHN,48,951.796814
22,7825860,65,3,0,220217,286454,346935,355318,369943,384504,396480,403894,MEX,145,173.6805573
23,1146328,9,7,0,42907,46230,46347,46440,46535,46807,47041,47485,TUN,231,15.13773155
23,1146328,9,7,0,42907,46230,46347,46440,46535,46807,47041,47485,DZA,4,212.6356812
23,1146328,9,7,0,42907,46230,46347,46440,46535,46807,47041,47485,LBY,128,147.203949
24,33961,6,7,0,0,4,4,6,74,75,75,78,LBY,128,147.203949
24,33961,6,7,0,0,4,4,6,74,75,75,78,TUN,231,15.13773155
25,4239371,44,7,0,25110,100258,144213,144783,149044,159083,161650,163962,DZA,4,212.6356812
25,4239371,44,7,0,25110,100258,144213,144783,149044,159083,161650,163962,TUN,231,15.13773155
25,4239371,44,7,0,25110,100258,144213,144783,149044,159083,161650,163962,LBY,128,147.203949
26,9414205,19,10,0,686780,842802,1072355,1078066,1090647,1170280,1174973,1192532,LAO,123,19.67579651
26,9414205,19,10,0,686780,842802,1072355,1078066,1090647,1170280,1174973,1192532,CHN,48,951.796814
26,9414205,19,10,0,686780,842802,1072355,1078066,1090647,1170280,1174973,1192532,MMR,154,58.30099869
26,9414205,19,10,0,686780,842802,1072355,1078066,1090647,1170280,1174973,1192532,THA,226,43.28914261
27,13087142,9,10,0,536215,682006,749368,796941,832894,871189,919329,959175,THA,226,43.28914261
27,13087142,9,10,0,536215,682006,749368,796941,832894,871189,919329,959175,KHM,39,15.09689426
28,40994185,41,10,0,6605692,8186981,9893904,10864893,11607287,12411999,13224398,13666719,VNM,247,27.90661049
